cell_type cell_id component component_id X Y Z inner_radius outer_radius
axon 0 axon 0 2.77141 19.0289 0 0.646409 0.646409
axon 0 axon 0 2.81673 19.0611 0.685112 0.687363 0.687363
axon 0 axon 0 2.8625 19.0936 1.37697 0.69413 0.69413
axon 0 axon 0 2.90827 19.126 2.06883 0.680063 0.680063
axon 0 axon 0 2.9531 19.1579 2.74666 0.610615 0.610615
axon 0 axon 0 2.99336 19.1865 3.35528 0.594073 0.594073
axon 0 axon 0 3.03253 19.2143 3.94741 0.42526 0.42526
axon 0 axon 0 3.06057 19.2342 4.37127 0.345964 0.345964
axon 0 axon 0 3.05667 19.2314 4.7172 0.318097 0.318097
axon 0 axon 0 3.05244 19.2284 5.09174 0.374567 0.374567
axon 0 axon 0 3.04822 19.2254 5.46627 0.339524 0.339524
axon 0 axon 0 3.04439 19.2227 5.80576 0.33121 0.33121
axon 0 axon 0 3.04065 19.22 6.13694 0.180219 0.180219
axon 0 axon 0 3.03739 19.2177 6.42567 0.288763 0.288763
axon 0 axon 0 3.03413 19.2154 6.71441 0.252889 0.252889
axon 0 axon 0 3.03128 19.2134 6.96727 0.15 0.15
axon 0 axon 0 3.02837 19.2113 7.2257 0.258448 0.258448
axon 0 axon 0 3.02545 19.2092 7.48412 0.251394 0.251394
axon 0 axon 0 3.02261 19.2072 7.73549 0.194406 0.194406
axon 0 axon 0 3.02042 19.2057 7.92988 0.190493 0.190493
axon 0 axon 0 3.0173 19.2034 8.20636 0.276503 0.276503
axon 0 axon 0 3.01418 19.2012 8.48283 0.271928 0.271928
axon 0 axon 0 3.01111 19.1991 8.75473 0.166891 0.166891
axon 0 axon 0 3.00788 19.1968 9.04175 0.287039 0.287039
axon 0 axon 0 3.00464 19.1945 9.32876 0.279628 0.279628
axon 0 axon 0 3.00148 19.1922 9.60836 0.219446 0.219446
axon 0 axon 0 2.99901 19.1905 9.82778 0.212261 0.212261
axon 0 axon 0 2.99611 19.1884 10.0842 0.256429 0.256429
axon 0 axon 0 2.99107 19.1848 10.5309 0.44679 0.44679
axon 0 axon 0 2.96638 19.2631 11.0092 0.485266 0.485266
axon 0 axon 0 2.9391 19.3495 11.5376 0.536089 0.536089
axon 0 axon 0 2.90778 19.4488 12.1441 0.615399 0.615399
axon 0 axon 0 2.87646 19.548 12.7507 0.586456 0.586456
axon 0 axon 0 2.84662 19.6426 13.3287 0.583944 0.583944
axon 0 axon 0 2.8169 19.7368 13.9042 0.520279 0.520279
axon 0 axon 0 2.78977 19.8227 14.4296 0.533122 0.533122
axon 0 axon 0 2.74215 19.8016 15.0725 0.645018 0.645018
axon 0 axon 0 2.6857 19.7765 15.8345 0.764489 0.764489
axon 0 axon 0 2.62443 19.7493 16.6617 0.829912 0.829912
axon 0 axon 0 2.56315 19.7221 17.4889 0.797995 0.797995
axon 0 axon 0 2.50423 19.696 18.2843 0.796161 0.796161
axon 0 axon 0 2.43787 19.6665 19.1802 0.898808 0.898808
axon 0 axon 0 2.37151 19.637 20.0761 0.875396 0.875396
axon 0 axon 0 2.38907 19.6103 20.9509 0.716978 0.716978
axon 0 axon 0 2.40345 19.5885 21.6674 0.648605 0.648605
axon 0 axon 0 2.41859 19.5654 22.4217 0.754793 0.754793
axon 0 axon 0 2.43373 19.5424 23.176 0.714208 0.714208
axon 0 axon 0 2.44805 19.5206 23.8897 0.703852 0.703852
axon 0 axon 0 2.46217 19.4992 24.5931 0.564669 0.564669
axon 0 axon 0 2.47431 19.4807 25.1979 0.605231 0.605231
axon 0 axon 0 2.52044 19.4326 25.9529 0.757938 0.757938
axon 0 axon 0 2.57286 19.378 26.8108 0.861232 0.861232
axon 0 axon 0 2.62527 19.3234 27.6687 0.805649 0.805649
axon 0 axon 0 2.67606 19.2705 28.4999 0.834408 0.834408
axon 0 axon 0 2.72684 19.2176 29.3311 0.790317 0.790317
