x,y,z
-1.2346017769678458e-05,-1.3923359189202287e-05,-4.9999999999999996e-06
-1.2096017769678457e-05,-1.3923359189202287e-05,-4.9999999999999996e-06
-1.2096017769678457e-05,-1.3923359189202287e-05,4.9999999999999996e-06
-1.2346017769678458e-05,-1.3923359189202287e-05,4.9999999999999996e-06
-1.210082144957765e-05,-1.3874586608698255e-05,-4.9999999999999996e-06
-1.210082144957765e-05,-1.3874586608698255e-05,4.9999999999999996e-06
-1.2115047886550636e-05,-1.3827688331111014e-05,-4.9999999999999996e-06
-1.2115047886550636e-05,-1.3827688331111014e-05,4.9999999999999996e-06
-1.213815036660282e-05,-1.3784466630947387e-05,-4.9999999999999996e-06
-1.213815036660282e-05,-1.3784466630947387e-05,4.9999999999999996e-06
-1.2169241074381821e-05,-1.374658249390565e-05,-4.9999999999999996e-06
-1.2169241074381821e-05,-1.374658249390565e-05,4.9999999999999996e-06
-1.2207125211423558e-05,-1.371549178612665e-05,-4.9999999999999996e-06
-1.2207125211423558e-05,-1.371549178612665e-05,4.9999999999999996e-06
-1.2250346911587184e-05,-1.3692389306074466e-05,-4.9999999999999996e-06
-1.2250346911587184e-05,-1.3692389306074466e-05,4.9999999999999996e-06
-1.2297245189174425e-05,-1.367816286910148e-05,-4.9999999999999996e-06
-1.2297245189174425e-05,-1.367816286910148e-05,4.9999999999999996e-06
-1.2346017769678458e-05,-1.3673359189202286e-05,-4.9999999999999996e-06
-1.2346017769678458e-05,-1.3673359189202286e-05,4.9999999999999996e-06
-1.2394790350182488e-05,-1.367816286910148e-05,-4.9999999999999996e-06
-1.2394790350182488e-05,-1.367816286910148e-05,4.9999999999999996e-06
-1.244168862776973e-05,-1.3692389306074466e-05,-4.9999999999999996e-06
-1.244168862776973e-05,-1.3692389306074466e-05,4.9999999999999996e-06
-1.2484910327933358e-05,-1.371549178612665e-05,-4.9999999999999996e-06
-1.2484910327933358e-05,-1.371549178612665e-05,4.9999999999999996e-06
-1.2522794464975094e-05,-1.374658249390565e-05,-4.9999999999999996e-06
-1.2522794464975094e-05,-1.374658249390565e-05,4.9999999999999996e-06
-1.2553885172754095e-05,-1.3784466630947387e-05,-4.9999999999999996e-06
-1.2553885172754095e-05,-1.3784466630947387e-05,4.9999999999999996e-06
-1.257698765280628e-05,-1.3827688331111014e-05,-4.9999999999999996e-06
-1.257698765280628e-05,-1.3827688331111014e-05,4.9999999999999996e-06
-1.2591214089779266e-05,-1.3874586608698255e-05,-4.9999999999999996e-06
-1.2591214089779266e-05,-1.3874586608698255e-05,4.9999999999999996e-06
-1.2596017769678457e-05,-1.3923359189202287e-05,-4.9999999999999996e-06
-1.2596017769678457e-05,-1.3923359189202287e-05,4.9999999999999996e-06
-1.2591214089779266e-05,-1.3972131769706318e-05,-4.9999999999999996e-06
-1.2591214089779266e-05,-1.3972131769706318e-05,4.9999999999999996e-06
-1.257698765280628e-05,-1.4019030047293559e-05,-4.9999999999999996e-06
-1.257698765280628e-05,-1.4019030047293559e-05,4.9999999999999996e-06
-1.2553885172754095e-05,-1.4062251747457187e-05,-4.9999999999999996e-06
-1.2553885172754095e-05,-1.4062251747457187e-05,4.9999999999999996e-06
-1.2522794464975094e-05,-1.4100135884498924e-05,-4.9999999999999996e-06
-1.2522794464975094e-05,-1.4100135884498924e-05,4.9999999999999996e-06
-1.2484910327933358e-05,-1.4131226592277924e-05,-4.9999999999999996e-06
-1.2484910327933358e-05,-1.4131226592277924e-05,4.9999999999999996e-06
-1.244168862776973e-05,-1.4154329072330109e-05,-4.9999999999999996e-06
-1.244168862776973e-05,-1.4154329072330109e-05,4.9999999999999996e-06
-1.2394790350182488e-05,-1.4168555509303095e-05,-4.9999999999999996e-06
-1.2394790350182488e-05,-1.4168555509303095e-05,4.9999999999999996e-06
-1.2346017769678458e-05,-1.4173359189202286e-05,-4.9999999999999996e-06
-1.2346017769678458e-05,-1.4173359189202286e-05,4.9999999999999996e-06
-1.2297245189174425e-05,-1.4168555509303095e-05,-4.9999999999999996e-06
-1.2297245189174425e-05,-1.4168555509303095e-05,4.9999999999999996e-06
-1.2250346911587184e-05,-1.4154329072330109e-05,-4.9999999999999996e-06
-1.2250346911587184e-05,-1.4154329072330109e-05,4.9999999999999996e-06
-1.2207125211423558e-05,-1.4131226592277924e-05,-4.9999999999999996e-06
-1.2207125211423558e-05,-1.4131226592277924e-05,4.9999999999999996e-06
-1.2169241074381821e-05,-1.4100135884498924e-05,-4.9999999999999996e-06
-1.2169241074381821e-05,-1.4100135884498924e-05,4.9999999999999996e-06
-1.213815036660282e-05,-1.4062251747457187e-05,-4.9999999999999996e-06
-1.213815036660282e-05,-1.4062251747457187e-05,4.9999999999999996e-06
-1.2115047886550636e-05,-1.4019030047293559e-05,-4.9999999999999996e-06
-1.2115047886550636e-05,-1.4019030047293559e-05,4.9999999999999996e-06
-1.210082144957765e-05,-1.3972131769706318e-05,-4.9999999999999996e-06
-1.210082144957765e-05,-1.3972131769706318e-05,4.9999999999999996e-06
7.947117998611226e-07,-1.3961416714038555e-05,-4.9999999999999996e-06
1.0447117998611225e-06,-1.3961416714038555e-05,-4.9999999999999996e-06
1.0447117998611225e-06,-1.3961416714038555e-05,4.9999999999999996e-06
7.947117998611226e-07,-1.3961416714038555e-05,4.9999999999999996e-06
1.0399081199619301e-06,-1.3912644133534522e-05,-4.9999999999999996e-06
1.0399081199619301e-06,-1.3912644133534522e-05,4.9999999999999996e-06
1.0256816829889442e-06,-1.3865745855947281e-05,-4.9999999999999996e-06
1.0256816829889442e-06,-1.3865745855947281e-05,4.9999999999999996e-06
1.0025792029367588e-06,-1.3822524155783653e-05,-4.9999999999999996e-06
1.0025792029367588e-06,-1.3822524155783653e-05,4.9999999999999996e-06
9.714884951577595e-07,-1.3784640018741916e-05,-4.9999999999999996e-06
9.714884951577595e-07,-1.3784640018741916e-05,4.9999999999999996e-06
