x,y,z
2.682468286663717e-06,-2.5040143617117605e-06,-4.9999999999999996e-06
3.1020579798608477e-06,-2.5040143617117605e-06,-4.9999999999999996e-06
3.1020579798608477e-06,-2.5040143617117605e-06,4.9999999999999996e-06
2.682468286663717e-06,-2.5040143617117605e-06,4.9999999999999996e-06
3.09399568156037e-06,-2.422156473351284e-06,-4.9999999999999996e-06
3.09399568156037e-06,-2.422156473351284e-06,4.9999999999999996e-06
3.0701186162612366e-06,-2.3434443377340676e-06,-4.9999999999999996e-06
3.0701186162612366e-06,-2.3434443377340676e-06,4.9999999999999996e-06
3.0313443661924792e-06,-2.270902818089607e-06,-4.9999999999999996e-06
3.0313443661924792e-06,-2.270902818089607e-06,4.9999999999999996e-06
2.979163004039391e-06,-2.2073196443360863e-06,-4.9999999999999996e-06
2.979163004039391e-06,-2.2073196443360863e-06,4.9999999999999996e-06
2.91557983028587e-06,-2.155138282182998e-06,-4.9999999999999996e-06
2.91557983028587e-06,-2.155138282182998e-06,4.9999999999999996e-06
2.8430383106414098e-06,-2.1163640321142408e-06,-4.9999999999999996e-06
2.8430383106414098e-06,-2.1163640321142408e-06,4.9999999999999996e-06
2.764326175024193e-06,-2.0924869668151072e-06,-4.9999999999999996e-06
2.764326175024193e-06,-2.0924869668151072e-06,4.9999999999999996e-06
2.682468286663717e-06,-2.0844246685146297e-06,-4.9999999999999996e-06
2.682468286663717e-06,-2.0844246685146297e-06,4.9999999999999996e-06
2.6006103983032403e-06,-2.0924869668151072e-06,-4.9999999999999996e-06
2.6006103983032403e-06,-2.0924869668151072e-06,4.9999999999999996e-06
2.5218982626860236e-06,-2.1163640321142408e-06,-4.9999999999999996e-06
2.5218982626860236e-06,-2.1163640321142408e-06,4.9999999999999996e-06
2.449356743041563e-06,-2.155138282182998e-06,-4.9999999999999996e-06
2.449356743041563e-06,-2.155138282182998e-06,4.9999999999999996e-06
2.3857735692880423e-06,-2.2073196443360863e-06,-4.9999999999999996e-06
2.3857735692880423e-06,-2.2073196443360863e-06,4.9999999999999996e-06
2.333592207134954e-06,-2.270902818089607e-06,-4.9999999999999996e-06
2.333592207134954e-06,-2.270902818089607e-06,4.9999999999999996e-06
2.294817957066197e-06,-2.3434443377340676e-06,-4.9999999999999996e-06
2.294817957066197e-06,-2.3434443377340676e-06,4.9999999999999996e-06
2.2709408917670632e-06,-2.4221564733512835e-06,-4.9999999999999996e-06
2.2709408917670632e-06,-2.4221564733512835e-06,4.9999999999999996e-06
2.2628785934665857e-06,-2.5040143617117605e-06,-4.9999999999999996e-06
2.2628785934665857e-06,-2.5040143617117605e-06,4.9999999999999996e-06
2.2709408917670632e-06,-2.585872250072237e-06,-4.9999999999999996e-06
2.2709408917670632e-06,-2.585872250072237e-06,4.9999999999999996e-06
2.294817957066197e-06,-2.6645843856894538e-06,-4.9999999999999996e-06
2.294817957066197e-06,-2.6645843856894538e-06,4.9999999999999996e-06
2.333592207134954e-06,-2.7371259053339142e-06,-4.9999999999999996e-06
2.333592207134954e-06,-2.7371259053339142e-06,4.9999999999999996e-06
2.3857735692880423e-06,-2.800709079087435e-06,-4.9999999999999996e-06
2.3857735692880423e-06,-2.800709079087435e-06,4.9999999999999996e-06
2.449356743041563e-06,-2.852890441240523e-06,-4.9999999999999996e-06
2.449356743041563e-06,-2.852890441240523e-06,4.9999999999999996e-06
2.521898262686023e-06,-2.8916646913092802e-06,-4.9999999999999996e-06
2.521898262686023e-06,-2.8916646913092802e-06,4.9999999999999996e-06
2.60061039830324e-06,-2.915541756608414e-06,-4.9999999999999996e-06
2.60061039830324e-06,-2.915541756608414e-06,4.9999999999999996e-06
2.682468286663717e-06,-2.9236040549088917e-06,-4.9999999999999996e-06
2.682468286663717e-06,-2.9236040549088917e-06,4.9999999999999996e-06
2.764326175024193e-06,-2.915541756608414e-06,-4.9999999999999996e-06
2.764326175024193e-06,-2.915541756608414e-06,4.9999999999999996e-06
2.8430383106414098e-06,-2.8916646913092802e-06,-4.9999999999999996e-06
2.8430383106414098e-06,-2.8916646913092802e-06,4.9999999999999996e-06
2.9155798302858698e-06,-2.852890441240523e-06,-4.9999999999999996e-06
2.9155798302858698e-06,-2.852890441240523e-06,4.9999999999999996e-06
2.979163004039391e-06,-2.800709079087435e-06,-4.9999999999999996e-06
2.979163004039391e-06,-2.800709079087435e-06,4.9999999999999996e-06
3.0313443661924792e-06,-2.7371259053339142e-06,-4.9999999999999996e-06
3.0313443661924792e-06,-2.7371259053339142e-06,4.9999999999999996e-06
3.0701186162612366e-06,-2.664584385689454e-06,-4.9999999999999996e-06
3.0701186162612366e-06,-2.664584385689454e-06,4.9999999999999996e-06
3.09399568156037e-06,-2.5858722500722375e-06,-4.9999999999999996e-06
3.09399568156037e-06,-2.5858722500722375e-06,4.9999999999999996e-06
1.2593733226473061e-06,-1.8665468734617026e-06,-4.9999999999999996e-06
1.4458032549998751e-06,-1.8665468734617026e-06,-4.9999999999999996e-06
1.4458032549998751e-06,-1.8665468734617026e-06,4.9999999999999996e-06
1.2593733226473061e-06,-1.8665468734617026e-06,4.9999999999999996e-06
1.4422210561252758e-06,-1.8301761979255948e-06,-4.9999999999999996e-06
1.4422210561252758e-06,-1.8301761979255948e-06,4.9999999999999996e-06
1.4316121213953086e-06,-1.79520322705343e-06,-4.9999999999999996e-06
1.4316121213953086e-06,-1.79520322705343e-06,4.9999999999999996e-06
1.4143841462220864e-06,-1.762971952502757e-06,-4.9999999999999996e-06
1.4143841462220864e-06,-1.762971952502757e-06,4.9999999999999996e-06
1.391199192029957e-06,-1.7347210040790517e-06,-4.9999999999999996e-06
1.391199192029957e-06,-1.7347210040790517e-06,4.9999999999999996e-06
1.3629482436062516e-06,-1.7115360498869223e-06,-4.9999999999999996e-06
1.3629482436062516e-06,-1.7115360498869223e-06,4.9999999999999996e-06
1.3307169690555788e-06,-1.6943080747137e-06,-4.9999999999999996e-06
1.3307169690555788e-06,-1.6943080747137e-06,4.9999999999999996e-06
1.295743998183414e-06,-1.6836991399837329e-06,-4.9999999999999996e-06
1.295743998183414e-06,-1.6836991399837329e-06,4.9999999999999996e-06
1.2593733226473061e-06,-1.6801169411091336e-06,-4.9999999999999996e-06
1.2593733226473061e-06,-1.6801169411091336e-06,4.9999999999999996e-06
1.2230026471111984e-06,-1.6836991399837329e-06,-4.9999999999999996e-06
1.2230026471111984e-06,-1.6836991399837329e-06,4.9999999999999996e-06
1.1880296762390335e-06,-1.6943080747137e-06,-4.9999999999999996e-06
1.1880296762390335e-06,-1.6943080747137e-06,4.9999999999999996e-06
1.1557984016883608e-06,-1.7115360498869223e-06,-4.9999999999999996e-06
1.1557984016883608e-06,-1.7115360498869223e-06,4.9999999999999996e-06
1.1275474532646553e-06,-1.7347210040790517e-06,-4.9999999999999996e-06
1.1275474532646553e-06,-1.7347210040790517e-06,4.9999999999999996e-06
1.104362499072526e-06,-1.762971952502757e-06,-4.9999999999999996e-06
1.104362499072526e-06,-1.762971952502757e-06,4.9999999999999996e-06
1.087134523899304e-06,-1.79520322705343e-06,-4.9999999999999996e-06
1.087134523899304e-06,-1.79520322705343e-06,4.9999999999999996e-06
1.0765255891693367e-06,-1.8301761979255948e-06,-4.9999999999999996e-06
1.0765255891693367e-06,-1.8301761979255948e-06,4.9999999999999996e-06
1.0729433902947374e-06,-1.8665468734617026e-06,-4.9999999999999996e-06
1.0729433902947374e-06,-1.8665468734617026e-06,4.9999999999999996e-06
1.0765255891693367e-06,-1.9029175489978103e-06,-4.9999999999999996e-06
1.0765255891693367e-06,-1.9029175489978103e-06,4.9999999999999996e-06
1.087134523899304e-06,-1.937890519869975e-06,-4.9999999999999996e-06
1.087134523899304e-06,-1.937890519869975e-06,4.9999999999999996e-06
1.104362499072526e-06,-1.970121794420648e-06,-4.9999999999999996e-06
1.104362499072526e-06,-1.970121794420648e-06,4.9999999999999996e-06
1.1275474532646553e-06,-1.998372742844353e-06,-4.9999999999999996e-06
1.1275474532646553e-06,-1.998372742844353e-06,4.9999999999999996e-06
1.1557984016883608e-06,-2.0215576970364826e-06,-4.9999999999999996e-06
