x,y,z
-1.9370257234233442e-05,8.008963377987453e-06,-3.061616997868383e-22
-1.9370257234233442e-05,8.008963377987453e-06,-5.000000000000003e-07
-9.37025723423344e-06,8.008963377987453e-06,-4.999999999999997e-07
-9.37025723423344e-06,8.008963377987453e-06,3.061616997868383e-22
-1.9370257234233442e-05,8.106508538995516e-06,-4.903926402016155e-07
-9.37025723423344e-06,8.106508538995516e-06,-4.903926402016149e-07
-1.9370257234233442e-05,8.200305094169998e-06,-4.6193976625564367e-07
-9.37025723423344e-06,8.200305094169998e-06,-4.6193976625564303e-07
-1.9370257234233442e-05,8.286748494497253e-06,-4.1573480615127293e-07
-9.37025723423344e-06,8.286748494497253e-06,-4.1573480615127224e-07
-1.9370257234233442e-05,8.362516768580726e-06,-3.535533905932741e-07
-9.37025723423344e-06,8.362516768580726e-06,-3.535533905932734e-07
-1.9370257234233442e-05,8.424698184138724e-06,-2.7778511650980146e-07
-9.37025723423344e-06,8.424698184138724e-06,-2.777851165098008e-07
-1.9370257234233442e-05,8.470903144243096e-06,-1.913417161825452e-07
-9.37025723423344e-06,8.470903144243096e-06,-1.913417161825446e-07
-1.9370257234233442e-05,8.499356018189069e-06,-9.754516100806446e-08
-9.37025723423344e-06,8.499356018189069e-06,-9.754516100806385e-08
-1.9370257234233442e-05,8.508963377987451e-06,-3.367778697655221e-22
-9.37025723423344e-06,8.508963377987451e-06,2.7554552980815445e-22
-1.9370257234233442e-05,8.499356018189069e-06,9.754516100806379e-08
-9.37025723423344e-06,8.499356018189069e-06,9.75451610080644e-08
-1.9370257234233442e-05,8.470903144243096e-06,1.9134171618254454e-07
-9.37025723423344e-06,8.470903144243096e-06,1.9134171618254515e-07
-1.9370257234233442e-05,8.424698184138724e-06,2.777851165098006e-07
-9.37025723423344e-06,8.424698184138724e-06,2.777851165098013e-07
-1.9370257234233442e-05,8.362516768580726e-06,3.5355339059327337e-07
-9.37025723423344e-06,8.362516768580726e-06,3.5355339059327405e-07
-1.9370257234233442e-05,8.286748494497253e-06,4.157348061512723e-07
-9.37025723423344e-06,8.286748494497253e-06,4.15734806151273e-07
-1.9370257234233442e-05,8.200305094169998e-06,4.6193976625564303e-07
-9.37025723423344e-06,8.200305094169998e-06,4.6193976625564367e-07
-1.9370257234233442e-05,8.106508538995516e-06,4.903926402016149e-07
-9.37025723423344e-06,8.106508538995516e-06,4.903926402016155e-07
-1.9370257234233442e-05,8.008963377987453e-06,4.999999999999997e-07
-9.37025723423344e-06,8.008963377987453e-06,5.000000000000003e-07
-1.9370257234233442e-05,7.911418216979388e-06,4.903926402016149e-07
-9.37025723423344e-06,7.911418216979388e-06,4.903926402016155e-07
-1.9370257234233442e-05,7.817621661804907e-06,4.619397662556431e-07
-9.37025723423344e-06,7.817621661804907e-06,4.619397662556437e-07
-1.9370257234233442e-05,7.73117826147765e-06,4.157348061512724e-07
-9.37025723423344e-06,7.73117826147765e-06,4.1573480615127304e-07
-1.9370257234233442e-05,7.655409987394178e-06,3.5355339059327347e-07
-9.37025723423344e-06,7.655409987394178e-06,3.5355339059327416e-07
-1.9370257234233442e-05,7.59322857183618e-06,2.777851165098007e-07
-9.37025723423344e-06,7.59322857183618e-06,2.777851165098014e-07
-1.9370257234233442e-05,7.5470236117318095e-06,1.9134171618254486e-07
-9.37025723423344e-06,7.5470236117318095e-06,1.9134171618254547e-07
-1.9370257234233442e-05,7.518570737785837e-06,9.754516100806402e-08
-9.37025723423344e-06,7.518570737785837e-06,9.754516100806463e-08
-1.9370257234233442e-05,7.508963377987452e-06,-2.143131898507868e-22
-9.37025723423344e-06,7.508963377987452e-06,3.9801020972288978e-22
-1.9370257234233442e-05,7.518570737785837e-06,-9.754516100806445e-08
-9.37025723423344e-06,7.518570737785837e-06,-9.754516100806384e-08
-1.9370257234233442e-05,7.5470236117318095e-06,-1.913417161825453e-07
-9.37025723423344e-06,7.5470236117318095e-06,-1.9134171618254468e-07
-1.9370257234233442e-05,7.59322857183618e-06,-2.7778511650980125e-07
-9.37025723423344e-06,7.59322857183618e-06,-2.7778511650980056e-07
-1.9370257234233442e-05,7.655409987394178e-06,-3.53553390593274e-07
-9.37025723423344e-06,7.655409987394178e-06,-3.535533905932733e-07
-1.9370257234233442e-05,7.73117826147765e-06,-4.1573480615127293e-07
-9.37025723423344e-06,7.73117826147765e-06,-4.1573480615127224e-07
-1.9370257234233442e-05,7.817621661804907e-06,-4.6193976625564356e-07
-9.37025723423344e-06,7.817621661804907e-06,-4.619397662556429e-07
-1.9370257234233442e-05,7.911418216979388e-06,-4.903926402016154e-07
-9.37025723423344e-06,7.911418216979388e-06,-4.903926402016148e-07
