x,y,z
3.9559674092858686e-05,3.964536985919505e-05,-0.0005
4.3213297313910966e-05,3.964536985919505e-05,-0.0005
4.3213297313910966e-05,3.964536985919505e-05,0.0005
3.9559674092858686e-05,3.964536985919505e-05,0.0005
4.3143093968206206e-05,4.035815638991575e-05,-0.0005
4.3143093968206206e-05,4.035815638991575e-05,0.0005
4.293518180629685e-05,4.1043550933996144e-05,-0.0005
4.293518180629685e-05,4.1043550933996144e-05,0.0005
4.25975507759666e-05,4.16752141634809e-05,-0.0005
4.25975507759666e-05,4.16752141634809e-05,0.0005
4.2143175848365396e-05,4.222887161470176e-05,-0.0005
4.2143175848365396e-05,4.222887161470176e-05,0.0005
4.158951839714453e-05,4.2683246542302976e-05,-0.0005
4.158951839714453e-05,4.2683246542302976e-05,0.0005
4.095785516765977e-05,4.3020877572633226e-05,-0.0005
4.095785516765977e-05,4.3020877572633226e-05,0.0005
4.0272460623579376e-05,4.322878973454258e-05,-0.0005
4.0272460623579376e-05,4.322878973454258e-05,0.0005
3.9559674092858686e-05,4.329899308024734e-05,-0.0005
3.9559674092858686e-05,4.329899308024734e-05,0.0005
3.884688756213799e-05,4.322878973454258e-05,-0.0005
3.884688756213799e-05,4.322878973454258e-05,0.0005
3.8161493018057595e-05,4.3020877572633226e-05,-0.0005
3.8161493018057595e-05,4.3020877572633226e-05,0.0005
3.752982978857284e-05,4.268324654230298e-05,-0.0005
3.752982978857284e-05,4.268324654230298e-05,0.0005
3.6976172337351976e-05,4.222887161470176e-05,-0.0005
3.6976172337351976e-05,4.222887161470176e-05,0.0005
3.652179740975076e-05,4.16752141634809e-05,-0.0005
3.652179740975076e-05,4.16752141634809e-05,0.0005
3.618416637942051e-05,4.1043550933996144e-05,-0.0005
3.618416637942051e-05,4.1043550933996144e-05,0.0005
3.597625421751116e-05,4.0358156389915756e-05,-0.0005
3.597625421751116e-05,4.0358156389915756e-05,0.0005
3.59060508718064e-05,3.964536985919505e-05,-0.0005
3.59060508718064e-05,3.964536985919505e-05,0.0005
3.597625421751116e-05,3.893258332847436e-05,-0.0005
3.597625421751116e-05,3.893258332847436e-05,0.0005
3.618416637942051e-05,3.8247188784393976e-05,-0.0005
3.618416637942051e-05,3.8247188784393976e-05,0.0005
3.652179740975076e-05,3.761552555490921e-05,-0.0005
3.652179740975076e-05,3.761552555490921e-05,0.0005
3.6976172337351976e-05,3.706186810368834e-05,-0.0005
3.6976172337351976e-05,3.706186810368834e-05,0.0005
3.752982978857284e-05,3.660749317608714e-05,-0.0005
3.752982978857284e-05,3.660749317608714e-05,0.0005
3.8161493018057595e-05,3.626986214575689e-05,-0.0005
3.8161493018057595e-05,3.626986214575689e-05,0.0005
3.884688756213798e-05,3.606194998384754e-05,-0.0005
3.884688756213798e-05,3.606194998384754e-05,0.0005
3.9559674092858686e-05,3.599174663814277e-05,-0.0005
3.9559674092858686e-05,3.599174663814277e-05,0.0005
4.0272460623579376e-05,3.6061949983847534e-05,-0.0005
4.0272460623579376e-05,3.6061949983847534e-05,0.0005
4.095785516765977e-05,3.626986214575689e-05,-0.0005
4.095785516765977e-05,3.626986214575689e-05,0.0005
4.158951839714453e-05,3.660749317608713e-05,-0.0005
4.158951839714453e-05,3.660749317608713e-05,0.0005
4.2143175848365396e-05,3.706186810368834e-05,-0.0005
4.2143175848365396e-05,3.706186810368834e-05,0.0005
4.25975507759666e-05,3.761552555490921e-05,-0.0005
4.25975507759666e-05,3.761552555490921e-05,0.0005
4.293518180629685e-05,3.824718878439397e-05,-0.0005
4.293518180629685e-05,3.824718878439397e-05,0.0005
4.31430939682062e-05,3.8932583328474356e-05,-0.0005
4.31430939682062e-05,3.8932583328474356e-05,0.0005
-4.755613535826739e-06,-2.1362097058809083e-06,-0.0005
-4.135409379990005e-06,-2.1362097058809083e-06,-0.0005
-4.135409379990005e-06,-2.1362097058809083e-06,0.0005
-4.755613535826739e-06,-2.1362097058809083e-06,0.0005
-4.147326428937158e-06,-2.015213877402979e-06,-0.0005
-4.147326428937158e-06,-2.015213877402979e-06,0.0005
-4.182619610270739e-06,-1.8988678507582135e-06,-0.0005
-4.182619610270739e-06,-1.8988678507582135e-06,0.0005
-4.239932626824742e-06,-1.7916427385029675e-06,-0.0005
-4.239932626824742e-06,-1.7916427385029675e-06,0.0005
-4.317062971514506e-06,-1.6976591415686746e-06,-0.0005
-4.317062971514506e-06,-1.6976591415686746e-06,0.0005
-4.411046568448799e-06,-1.6205287968789107e-06,-0.0005
-4.411046568448799e-06,-1.6205287968789107e-06,0.0005
-4.518271680704045e-06,-1.5632157803249083e-06,-0.0005
-4.518271680704045e-06,-1.5632157803249083e-06,0.0005
-4.63461770734881e-06,-1.5279225989913272e-06,-0.0005
-4.63461770734881e-06,-1.5279225989913272e-06,0.0005
-4.755613535826739e-06,-1.5160055500441732e-06,-0.0005
-4.755613535826739e-06,-1.5160055500441732e-06,0.0005
-4.876609364304669e-06,-1.5279225989913272e-06,-0.0005
-4.876609364304669e-06,-1.5279225989913272e-06,0.0005
-4.992955390949435e-06,-1.5632157803249083e-06,-0.0005
-4.992955390949435e-06,-1.5632157803249083e-06,0.0005
-5.1001805032046804e-06,-1.6205287968789104e-06,-0.0005
-5.1001805032046804e-06,-1.6205287968789104e-06,0.0005
-5.1941641001389735e-06,-1.6976591415686746e-06,-0.0005
-5.1941641001389735e-06,-1.6976591415686746e-06,0.0005
-5.2712944448287375e-06,-1.7916427385029675e-06,-0.0005
-5.2712944448287375e-06,-1.7916427385029675e-06,0.0005
-5.328607461382739e-06,-1.8988678507582135e-06,-0.0005
-5.328607461382739e-06,-1.8988678507582135e-06,0.0005
-5.3639006427163205e-06,-2.0152138774029785e-06,-0.0005
-5.3639006427163205e-06,-2.0152138774029785e-06,0.0005
-5.375817691663474e-06,-2.1362097058809083e-06,-0.0005
-5.375817691663474e-06,-2.1362097058809083e-06,0.0005
-5.3639006427163205e-06,-2.257205534358838e-06,-0.0005
-5.3639006427163205e-06,-2.257205534358838e-06,0.0005
-5.328607461382739e-06,-2.373551561003603e-06,-0.0005
-5.328607461382739e-06,-2.373551561003603e-06,0.0005
-5.2712944448287375e-06,-2.4807766732588486e-06,-0.0005
-5.2712944448287375e-06,-2.4807766732588486e-06,0.0005
-5.1941641001389735e-06,-2.5747602701931417e-06,-0.0005
-5.1941641001389735e-06,-2.5747602701931417e-06,0.0005
-5.1001805032046804e-06,-2.651890614882906e-06,-0.0005
-5.1001805032046804e-06,-2.651890614882906e-06,0.0005
-4.992955390949435e-06,-2.7092036314369085e-06,-0.0005
-4.992955390949435e-06,-2.7092036314369085e-06,0.0005
-4.876609364304669e-06,-2.7444968127704896e-06,-0.0005
-4.876609364304669e-06,-2.7444968127704896e-06,0.0005
-4.755613535826739e-06,-2.7564138617176438e-06,-0.0005
-4.755613535826739e-06,-2.7564138617176438e-06,0.0005
-4.63461770734881e-06,-2.7444968127704896e-06,-0.0005
-4.63461770734881e-06,-2.7444968127704896e-06,0.0005
-4.518271680704045e-06,-2.7092036314369085e-06,-0.0005
-4.518271680704045e-06,-2.7092036314369085e-06,0.0005
-4.411046568448799e-06,-2.651890614882906e-06,-0.0005
-4.411046568448799e-06,-2.651890614882906e-06,0.0005
-4.317062971514506e-06,-2.5747602701931426e-06,-0.0005
-4.317062971514506e-06,-2.5747602701931426e-06,0.0005
-4.239932626824742e-06,-2.480776673258849e-06,-0.0005
-4.239932626824742e-06,-2.480776673258849e-06,0.0005
