x,y,z
4.812640440159251e-05,1.613803722179152e-05,-0.0005
4.967069096861225e-05,1.613803722179152e-05,-0.0005
4.967069096861225e-05,1.613803722179152e-05,0.0005
4.812640440159251e-05,1.613803722179152e-05,0.0005
4.964101793524991e-05,1.6439312585436586e-05,-0.0005
4.964101793524991e-05,1.6439312585436586e-05,0.0005
4.9553139153194174e-05,1.6729010105813937e-05,-0.0005
4.9553139153194174e-05,1.6729010105813937e-05,0.0005
4.941043175475644e-05,1.6995996869679722e-05,-0.0005
4.941043175475644e-05,1.6995996869679722e-05,0.0005
4.9218379905227464e-05,1.7230012725426476e-05,-0.0005
4.9218379905227464e-05,1.7230012725426476e-05,0.0005
4.898436404948071e-05,1.7422064574955457e-05,-0.0005
4.898436404948071e-05,1.7422064574955457e-05,0.0005
4.871737728561493e-05,1.7564771973393186e-05,-0.0005
4.871737728561493e-05,1.7564771973393186e-05,0.0005
4.842767976523757e-05,1.7652650755448924e-05,-0.0005
4.842767976523757e-05,1.7652650755448924e-05,0.0005
4.812640440159251e-05,1.7682323788811265e-05,-0.0005
4.812640440159251e-05,1.7682323788811265e-05,0.0005
4.7825129037947445e-05,1.7652650755448924e-05,-0.0005
4.7825129037947445e-05,1.7652650755448924e-05,0.0005
4.753543151757009e-05,1.7564771973393186e-05,-0.0005
4.753543151757009e-05,1.7564771973393186e-05,0.0005
4.7268444753704306e-05,1.742206457495546e-05,-0.0005
4.7268444753704306e-05,1.742206457495546e-05,0.0005
4.703442889795755e-05,1.7230012725426476e-05,-0.0005
4.703442889795755e-05,1.7230012725426476e-05,0.0005
4.6842377048428575e-05,1.6995996869679722e-05,-0.0005
4.6842377048428575e-05,1.6995996869679722e-05,0.0005
4.669966964999084e-05,1.6729010105813937e-05,-0.0005
4.669966964999084e-05,1.6729010105813937e-05,0.0005
4.6611790867935104e-05,1.6439312585436586e-05,-0.0005
4.6611790867935104e-05,1.6439312585436586e-05,0.0005
4.658211783457276e-05,1.613803722179152e-05,-0.0005
4.658211783457276e-05,1.613803722179152e-05,0.0005
4.6611790867935104e-05,1.5836761858146457e-05,-0.0005
4.6611790867935104e-05,1.5836761858146457e-05,0.0005
4.669966964999084e-05,1.5547064337769103e-05,-0.0005
4.669966964999084e-05,1.5547064337769103e-05,0.0005
4.6842377048428575e-05,1.5280077573903318e-05,-0.0005
4.6842377048428575e-05,1.5280077573903318e-05,0.0005
4.703442889795755e-05,1.5046061718156564e-05,-0.0005
4.703442889795755e-05,1.5046061718156564e-05,0.0005
4.7268444753704306e-05,1.4854009868627583e-05,-0.0005
4.7268444753704306e-05,1.4854009868627583e-05,0.0005
4.753543151757009e-05,1.4711302470189857e-05,-0.0005
4.753543151757009e-05,1.4711302470189857e-05,0.0005
4.7825129037947445e-05,1.4623423688134117e-05,-0.0005
4.7825129037947445e-05,1.4623423688134117e-05,0.0005
4.812640440159251e-05,1.4593750654771773e-05,-0.0005
4.812640440159251e-05,1.4593750654771773e-05,0.0005
4.842767976523757e-05,1.4623423688134117e-05,-0.0005
4.842767976523757e-05,1.4623423688134117e-05,0.0005
4.871737728561493e-05,1.4711302470189857e-05,-0.0005
4.871737728561493e-05,1.4711302470189857e-05,0.0005
4.898436404948071e-05,1.4854009868627583e-05,-0.0005
4.898436404948071e-05,1.4854009868627583e-05,0.0005
4.9218379905227464e-05,1.5046061718156562e-05,-0.0005
4.9218379905227464e-05,1.5046061718156562e-05,0.0005
4.941043175475644e-05,1.5280077573903318e-05,-0.0005
4.941043175475644e-05,1.5280077573903318e-05,0.0005
4.9553139153194174e-05,1.5547064337769103e-05,-0.0005
4.9553139153194174e-05,1.5547064337769103e-05,0.0005
4.964101793524991e-05,1.5836761858146457e-05,-0.0005
4.964101793524991e-05,1.5836761858146457e-05,0.0005
-4.773123702928302e-06,4.0521700863011514e-05,-0.0005
-3.5248428431080177e-06,4.0521700863011514e-05,-0.0005
-3.5248428431080177e-06,4.0521700863011514e-05,0.0005
-4.773123702928302e-06,4.0521700863011514e-05,0.0005
-3.5488282098074786e-06,4.076522837792043e-05,-0.0005
-3.5488282098074786e-06,4.076522837792043e-05,0.0005
-3.619862565714751e-06,4.099939726700319e-05,-0.0005
-3.619862565714751e-06,4.099939726700319e-05,0.0005
-3.7352161003688424e-06,4.1215208551175784e-05,-0.0005
-3.7352161003688424e-06,4.1215208551175784e-05,0.0005
-3.890455842124005e-06,4.1404368723815815e-05,-0.0005
-3.890455842124005e-06,4.1404368723815815e-05,0.0005
-4.079616014764037e-06,4.155960846557097e-05,-0.0005
-4.079616014764037e-06,4.155960846557097e-05,0.0005
-4.29542729893663e-06,4.167496200022507e-05,-0.0005
-4.29542729893663e-06,4.167496200022507e-05,0.0005
-4.529596188019394e-06,4.174599635613234e-05,-0.0005
-4.529596188019394e-06,4.174599635613234e-05,0.0005
-4.773123702928302e-06,4.17699817228318e-05,-0.0005
-4.773123702928302e-06,4.17699817228318e-05,0.0005
-5.016651217837211e-06,4.174599635613234e-05,-0.0005
-5.016651217837211e-06,4.174599635613234e-05,0.0005
-5.250820106919974e-06,4.167496200022507e-05,-0.0005
-5.250820106919974e-06,4.167496200022507e-05,0.0005
-5.466631391092567e-06,4.155960846557097e-05,-0.0005
-5.466631391092567e-06,4.155960846557097e-05,0.0005
-5.655791563732599e-06,4.1404368723815815e-05,-0.0005
-5.655791563732599e-06,4.1404368723815815e-05,0.0005
-5.811031305487762e-06,4.1215208551175784e-05,-0.0005
-5.811031305487762e-06,4.1215208551175784e-05,0.0005
-5.926384840141853e-06,4.099939726700319e-05,-0.0005
-5.926384840141853e-06,4.099939726700319e-05,0.0005
-5.9974191960491255e-06,4.076522837792043e-05,-0.0005
-5.9974191960491255e-06,4.076522837792043e-05,0.0005
-6.0214045627485864e-06,4.0521700863011514e-05,-0.0005
-6.0214045627485864e-06,4.0521700863011514e-05,0.0005
-5.9974191960491255e-06,4.0278173348102606e-05,-0.0005
-5.9974191960491255e-06,4.0278173348102606e-05,0.0005
-5.926384840141853e-06,4.004400445901984e-05,-0.0005
-5.926384840141853e-06,4.004400445901984e-05,0.0005
-5.811031305487762e-06,3.982819317484725e-05,-0.0005
-5.811031305487762e-06,3.982819317484725e-05,0.0005
-5.6557915637326e-06,3.963903300220722e-05,-0.0005
-5.6557915637326e-06,3.963903300220722e-05,0.0005
-5.466631391092567e-06,3.948379326045206e-05,-0.0005
-5.466631391092567e-06,3.948379326045206e-05,0.0005
-5.250820106919975e-06,3.936843972579797e-05,-0.0005
-5.250820106919975e-06,3.936843972579797e-05,0.0005
-5.016651217837212e-06,3.92974053698907e-05,-0.0005
-5.016651217837212e-06,3.92974053698907e-05,0.0005
-4.773123702928302e-06,3.927342000319123e-05,-0.0005
-4.773123702928302e-06,3.927342000319123e-05,0.0005
-4.529596188019394e-06,3.92974053698907e-05,-0.0005
-4.529596188019394e-06,3.92974053698907e-05,0.0005
-4.29542729893663e-06,3.936843972579796e-05,-0.0005
-4.29542729893663e-06,3.936843972579796e-05,0.0005
-4.079616014764038e-06,3.948379326045206e-05,-0.0005
-4.079616014764038e-06,3.948379326045206e-05,0.0005
-3.890455842124005e-06,3.963903300220722e-05,-0.0005
-3.890455842124005e-06,3.963903300220722e-05,0.0005
-3.7352161003688424e-06,3.982819317484725e-05,-0.0005
-3.7352161003688424e-06,3.982819317484725e-05,0.0005
-3.619862565714751e-06,4.004400445901984e-05,-0.0005
-3.619862565714751e-06,4.004400445901984e-05,0.0005
-3.548828209807479e-06,4.0278173348102606e-05,-0.0005
-3.548828209807479e-06,4.0278173348102606e-05,0.0005
-4.8162498439376034e-05,3.756368481762229e-05,-0.0005
-4.757513867350217e-05,3.756368481762229e-05,-0.0005
