x,y,z
3.0043001663522856e-05,3.595042890581427e-05,-0.0005
3.047400166352286e-05,3.595042890581427e-05,-0.0005
3.047400166352286e-05,3.595042890581427e-05,0.0005
3.0043001663522856e-05,3.595042890581427e-05,0.0005
3.046572011937665e-05,3.603451283460323e-05,-0.0005
3.046572011937665e-05,3.603451283460323e-05,0.0005
3.0441193742035224e-05,3.6115365465163634e-05,-0.0005
3.0441193742035224e-05,3.6115365465163634e-05,0.0005
3.0401365066425256e-05,3.618987967624572e-05,-0.0005
3.0401365066425256e-05,3.618987967624572e-05,0.0005
3.034776468621426e-05,3.625519192850568e-05,-0.0005
3.034776468621426e-05,3.625519192850568e-05,0.0005
3.0282452433954307e-05,3.6308792308716674e-05,-0.0005
3.0282452433954307e-05,3.6308792308716674e-05,0.0005
3.020793822287221e-05,3.634862098432664e-05,-0.0005
3.020793822287221e-05,3.634862098432664e-05,0.0005
3.012708559231181e-05,3.637314736166807e-05,-0.0005
3.012708559231181e-05,3.637314736166807e-05,0.0005
3.0043001663522856e-05,3.6381428905814276e-05,-0.0005
3.0043001663522856e-05,3.6381428905814276e-05,0.0005
2.9958917734733904e-05,3.637314736166807e-05,-0.0005
2.9958917734733904e-05,3.637314736166807e-05,0.0005
2.9878065104173504e-05,3.634862098432664e-05,-0.0005
2.9878065104173504e-05,3.634862098432664e-05,0.0005
2.9803550893091408e-05,3.6308792308716674e-05,-0.0005
2.9803550893091408e-05,3.6308792308716674e-05,0.0005
2.9738238640831457e-05,3.625519192850568e-05,-0.0005
2.9738238640831457e-05,3.625519192850568e-05,0.0005
2.9684638260620458e-05,3.618987967624572e-05,-0.0005
2.9684638260620458e-05,3.618987967624572e-05,0.0005
2.964480958501049e-05,3.6115365465163634e-05,-0.0005
2.964480958501049e-05,3.6115365465163634e-05,0.0005
2.9620283207669062e-05,3.603451283460323e-05,-0.0005
2.9620283207669062e-05,3.603451283460323e-05,0.0005
2.9612001663522856e-05,3.595042890581427e-05,-0.0005
2.9612001663522856e-05,3.595042890581427e-05,0.0005
2.9620283207669062e-05,3.5866344977025325e-05,-0.0005
2.9620283207669062e-05,3.5866344977025325e-05,0.0005
2.964480958501049e-05,3.578549234646492e-05,-0.0005
2.964480958501049e-05,3.578549234646492e-05,0.0005
2.9684638260620458e-05,3.571097813538283e-05,-0.0005
2.9684638260620458e-05,3.571097813538283e-05,0.0005
2.9738238640831453e-05,3.5645665883122874e-05,-0.0005
2.9738238640831453e-05,3.5645665883122874e-05,0.0005
2.9803550893091408e-05,3.559206550291188e-05,-0.0005
2.9803550893091408e-05,3.559206550291188e-05,0.0005
2.9878065104173504e-05,3.555223682730191e-05,-0.0005
2.9878065104173504e-05,3.555223682730191e-05,0.0005
2.9958917734733904e-05,3.5527710449960486e-05,-0.0005
2.9958917734733904e-05,3.5527710449960486e-05,0.0005
3.0043001663522856e-05,3.5519428905814277e-05,-0.0005
3.0043001663522856e-05,3.5519428905814277e-05,0.0005
3.012708559231181e-05,3.5527710449960486e-05,-0.0005
3.012708559231181e-05,3.5527710449960486e-05,0.0005
3.020793822287221e-05,3.555223682730191e-05,-0.0005
3.020793822287221e-05,3.555223682730191e-05,0.0005
