x,y,z
1.742958583823018e-05,1.244695776658331e-05,-0.0005
1.771964229377265e-05,1.244695776658331e-05,-0.0005
1.771964229377265e-05,1.244695776658331e-05,0.0005
1.742958583823018e-05,1.244695776658331e-05,0.0005
1.771406894031217e-05,1.2503544973897946e-05,-0.0005
1.771406894031217e-05,1.2503544973897946e-05,0.0005
1.769756306077864e-05,1.2557957566569955e-05,-0.0005
1.769756306077864e-05,1.2557957566569955e-05,0.0005
1.767075896686593e-05,1.260810449917788e-05,-0.0005
1.767075896686593e-05,1.260810449917788e-05,0.0005
1.7634686724871197e-05,1.2652058653224323e-05,-0.0005
1.7634686724871197e-05,1.2652058653224323e-05,0.0005
1.759073257082475e-05,1.2688130895219058e-05,-0.0005
1.759073257082475e-05,1.2688130895219058e-05,0.0005
1.7540585638216824e-05,1.2714934989131768e-05,-0.0005
1.7540585638216824e-05,1.2714934989131768e-05,0.0005
1.748617304554482e-05,1.2731440868665299e-05,-0.0005
1.748617304554482e-05,1.2731440868665299e-05,0.0005
1.742958583823018e-05,1.2737014222125781e-05,-0.0005
1.742958583823018e-05,1.2737014222125781e-05,0.0005
1.7372998630915543e-05,1.2731440868665299e-05,-0.0005
1.7372998630915543e-05,1.2731440868665299e-05,0.0005
1.7318586038243536e-05,1.2714934989131768e-05,-0.0005
1.7318586038243536e-05,1.2714934989131768e-05,0.0005
1.726843910563561e-05,1.2688130895219058e-05,-0.0005
1.726843910563561e-05,1.2688130895219058e-05,0.0005
1.7224484951589163e-05,1.2652058653224323e-05,-0.0005
1.7224484951589163e-05,1.2652058653224323e-05,0.0005
1.7188412709594434e-05,1.260810449917788e-05,-0.0005
1.7188412709594434e-05,1.260810449917788e-05,0.0005
1.716160861568172e-05,1.2557957566569955e-05,-0.0005
1.716160861568172e-05,1.2557957566569955e-05,0.0005
1.714510273614819e-05,1.2503544973897946e-05,-0.0005
1.714510273614819e-05,1.2503544973897946e-05,0.0005
1.713952938268771e-05,1.244695776658331e-05,-0.0005
1.713952938268771e-05,1.244695776658331e-05,0.0005
1.714510273614819e-05,1.2390370559268673e-05,-0.0005
1.714510273614819e-05,1.2390370559268673e-05,0.0005
1.716160861568172e-05,1.2335957966596665e-05,-0.0005
1.716160861568172e-05,1.2335957966596665e-05,0.0005
1.7188412709594434e-05,1.2285811033988739e-05,-0.0005
1.7188412709594434e-05,1.2285811033988739e-05,0.0005
1.7224484951589163e-05,1.2241856879942295e-05,-0.0005
1.7224484951589163e-05,1.2241856879942295e-05,0.0005
1.726843910563561e-05,1.220578463794756e-05,-0.0005
1.726843910563561e-05,1.220578463794756e-05,0.0005
1.7318586038243536e-05,1.217898054403485e-05,-0.0005
1.7318586038243536e-05,1.217898054403485e-05,0.0005
1.7372998630915543e-05,1.2162474664501321e-05,-0.0005
1.7372998630915543e-05,1.2162474664501321e-05,0.0005
1.742958583823018e-05,1.2156901311040839e-05,-0.0005
1.742958583823018e-05,1.2156901311040839e-05,0.0005
1.748617304554482e-05,1.2162474664501321e-05,-0.0005
1.748617304554482e-05,1.2162474664501321e-05,0.0005
1.7540585638216824e-05,1.217898054403485e-05,-0.0005
1.7540585638216824e-05,1.217898054403485e-05,0.0005
1.759073257082475e-05,1.220578463794756e-05,-0.0005
1.759073257082475e-05,1.220578463794756e-05,0.0005
1.7634686724871197e-05,1.2241856879942295e-05,-0.0005
1.7634686724871197e-05,1.2241856879942295e-05,0.0005
1.767075896686593e-05,1.2285811033988739e-05,-0.0005
1.767075896686593e-05,1.2285811033988739e-05,0.0005
1.769756306077864e-05,1.2335957966596665e-05,-0.0005
1.769756306077864e-05,1.2335957966596665e-05,0.0005
1.771406894031217e-05,1.2390370559268673e-05,-0.0005
1.771406894031217e-05,1.2390370559268673e-05,0.0005
1.8944772701525862e-05,-4.496272391610705e-05,-0.0005
2.0232048792873298e-05,-4.496272391610705e-05,-0.0005
2.0232048792873298e-05,-4.496272391610705e-05,0.0005
1.8944772701525862e-05,-4.496272391610705e-05,0.0005
2.020731414373443e-05,-4.4711588808922415e-05,-0.0005
2.020731414373443e-05,-4.4711588808922415e-05,0.0005
2.013406073501289e-05,-4.44701046830687e-05,-0.0005
2.013406073501289e-05,-4.44701046830687e-05,0.0005
2.0015103654124852e-05,-4.424755163807659e-05,-0.0005
2.0015103654124852e-05,-4.424755163807659e-05,0.0005
1.9855014354976946e-05,-4.405248226265596e-05,-0.0005
1.9855014354976946e-05,-4.405248226265596e-05,0.0005
1.9659944979556322e-05,-4.3892392963508067e-05,-0.0005
1.9659944979556322e-05,-4.3892392963508067e-05,0.0005
1.9437391934564217e-05,-4.3773435882620026e-05,-0.0005
1.9437391934564217e-05,-4.3773435882620026e-05,0.0005
1.9195907808710496e-05,-4.370018247389848e-05,-0.0005
1.9195907808710496e-05,-4.370018247389848e-05,0.0005
1.8944772701525862e-05,-4.367544782475961e-05,-0.0005
1.8944772701525862e-05,-4.367544782475961e-05,0.0005
1.8693637594341228e-05,-4.370018247389848e-05,-0.0005
1.8693637594341228e-05,-4.370018247389848e-05,0.0005
1.8452153468487507e-05,-4.3773435882620026e-05,-0.0005
1.8452153468487507e-05,-4.3773435882620026e-05,0.0005
1.8229600423495405e-05,-4.3892392963508067e-05,-0.0005
1.8229600423495405e-05,-4.3892392963508067e-05,0.0005
1.8034531048074778e-05,-4.405248226265596e-05,-0.0005
1.8034531048074778e-05,-4.405248226265596e-05,0.0005
1.7874441748926872e-05,-4.424755163807659e-05,-0.0005
1.7874441748926872e-05,-4.424755163807659e-05,0.0005
1.7755484668038835e-05,-4.44701046830687e-05,-0.0005
1.7755484668038835e-05,-4.44701046830687e-05,0.0005
1.7682231259317293e-05,-4.4711588808922415e-05,-0.0005
1.7682231259317293e-05,-4.4711588808922415e-05,0.0005
1.7657496610178426e-05,-4.496272391610705e-05,-0.0005
1.7657496610178426e-05,-4.496272391610705e-05,0.0005
1.7682231259317293e-05,-4.521385902329169e-05,-0.0005
1.7682231259317293e-05,-4.521385902329169e-05,0.0005
1.7755484668038835e-05,-4.54553431491454e-05,-0.0005
1.7755484668038835e-05,-4.54553431491454e-05,0.0005
1.7874441748926872e-05,-4.5677896194137506e-05,-0.0005
1.7874441748926872e-05,-4.5677896194137506e-05,0.0005
1.8034531048074774e-05,-4.587296556955814e-05,-0.0005
1.8034531048074774e-05,-4.587296556955814e-05,0.0005
1.8229600423495405e-05,-4.603305486870604e-05,-0.0005
1.8229600423495405e-05,-4.603305486870604e-05,0.0005
1.8452153468487507e-05,-4.615201194959407e-05,-0.0005
1.8452153468487507e-05,-4.615201194959407e-05,0.0005
1.8693637594341228e-05,-4.622526535831562e-05,-0.0005
1.8693637594341228e-05,-4.622526535831562e-05,0.0005
1.8944772701525862e-05,-4.6250000007454486e-05,-0.0005
1.8944772701525862e-05,-4.6250000007454486e-05,0.0005
1.9195907808710496e-05,-4.622526535831562e-05,-0.0005
1.9195907808710496e-05,-4.622526535831562e-05,0.0005
1.9437391934564217e-05,-4.615201194959407e-05,-0.0005
1.9437391934564217e-05,-4.615201194959407e-05,0.0005
1.9659944979556322e-05,-4.603305486870604e-05,-0.0005
1.9659944979556322e-05,-4.603305486870604e-05,0.0005
1.9855014354976946e-05,-4.587296556955814e-05,-0.0005
1.9855014354976946e-05,-4.587296556955814e-05,0.0005
2.0015103654124852e-05,-4.5677896194137506e-05,-0.0005
2.0015103654124852e-05,-4.5677896194137506e-05,0.0005
2.0134060735012886e-05,-4.54553431491454e-05,-0.0005
2.0134060735012886e-05,-4.54553431491454e-05,0.0005
2.020731414373443e-05,-4.521385902329169e-05,-0.0005
2.020731414373443e-05,-4.521385902329169e-05,0.0005
2.3305811592388805e-05,1.9122772738600956e-05,-0.0005
2.3406136590711705e-05,1.9122772738600956e-05,-0.0005
2.3406136590711705e-05,1.9122772738600956e-05,0.0005
2.3305811592388805e-05,1.9122772738600956e-05,0.0005
2.3404208874000383e-05,1.914234517483004e-05,-0.0005
2.3404208874000383e-05,1.914234517483004e-05,0.0005
2.339849980493856e-05,1.9161165453311186e-05,-0.0005
2.339849980493856e-05,1.9161165453311186e-05,0.0005
2.33892287798486e-05,1.91785103212969e-05,-0.0005
2.33892287798486e-05,1.91785103212969e-05,0.0005
2.3376752079025458e-05,1.919371322523761e-05,-0.0005
2.3376752079025458e-05,1.919371322523761e-05,0.0005
