x,y,z
1.6164199894929524e-05,-4.8550346930368054e-05,-0.0005
1.6664199894929522e-05,-4.8550346930368054e-05,-0.0005
1.6664199894929522e-05,-4.8550346930368054e-05,0.0005
1.6164199894929524e-05,-4.8550346930368054e-05,0.0005
1.665459253513114e-05,-4.845280176935999e-05,-0.0005
1.665459253513114e-05,-4.845280176935999e-05,0.0005
1.6626139661185167e-05,-4.835900521418551e-05,-0.0005
1.6626139661185167e-05,-4.835900521418551e-05,0.0005
1.65799347010808e-05,-4.8272561813858254e-05,-0.0005
1.65799347010808e-05,-4.8272561813858254e-05,0.0005
1.6517753285522797e-05,-4.819679353977478e-05,-0.0005
1.6517753285522797e-05,-4.819679353977478e-05,0.0005
1.6441985011439324e-05,-4.813461212421678e-05,-0.0005
1.6441985011439324e-05,-4.813461212421678e-05,0.0005
1.635554161111207e-05,-4.808840716411241e-05,-0.0005
1.635554161111207e-05,-4.808840716411241e-05,0.0005
1.626174505593759e-05,-4.805995429016644e-05,-0.0005
1.626174505593759e-05,-4.805995429016644e-05,0.0005
1.6164199894929524e-05,-4.8050346930368056e-05,-0.0005
1.6164199894929524e-05,-4.8050346930368056e-05,0.0005
1.606665473392146e-05,-4.805995429016644e-05,-0.0005
1.606665473392146e-05,-4.805995429016644e-05,0.0005
1.5972858178746977e-05,-4.808840716411241e-05,-0.0005
1.5972858178746977e-05,-4.808840716411241e-05,0.0005
1.5886414778419724e-05,-4.813461212421678e-05,-0.0005
1.5886414778419724e-05,-4.813461212421678e-05,0.0005
1.581064650433625e-05,-4.819679353977478e-05,-0.0005
1.581064650433625e-05,-4.819679353977478e-05,0.0005
1.5748465088778253e-05,-4.8272561813858254e-05,-0.0005
1.5748465088778253e-05,-4.8272561813858254e-05,0.0005
1.570226012867388e-05,-4.835900521418551e-05,-0.0005
1.570226012867388e-05,-4.835900521418551e-05,0.0005
1.5673807254727908e-05,-4.845280176935999e-05,-0.0005
1.5673807254727908e-05,-4.845280176935999e-05,0.0005
1.5664199894929525e-05,-4.8550346930368054e-05,-0.0005
1.5664199894929525e-05,-4.8550346930368054e-05,0.0005
1.5673807254727908e-05,-4.864789209137612e-05,-0.0005
1.5673807254727908e-05,-4.864789209137612e-05,0.0005
1.570226012867388e-05,-4.87416886465506e-05,-0.0005
1.570226012867388e-05,-4.87416886465506e-05,0.0005
1.5748465088778253e-05,-4.882813204687786e-05,-0.0005
1.5748465088778253e-05,-4.882813204687786e-05,0.0005
1.581064650433625e-05,-4.8903900320961334e-05,-0.0005
1.581064650433625e-05,-4.8903900320961334e-05,0.0005
1.5886414778419724e-05,-4.8966081736519325e-05,-0.0005
1.5886414778419724e-05,-4.8966081736519325e-05,0.0005
1.5972858178746977e-05,-4.90122866966237e-05,-0.0005
1.5972858178746977e-05,-4.90122866966237e-05,0.0005
1.606665473392146e-05,-4.904073957056967e-05,-0.0005
1.606665473392146e-05,-4.904073957056967e-05,0.0005
1.6164199894929524e-05,-4.905034693036805e-05,-0.0005
1.6164199894929524e-05,-4.905034693036805e-05,0.0005
1.626174505593759e-05,-4.904073957056967e-05,-0.0005
1.626174505593759e-05,-4.904073957056967e-05,0.0005
1.635554161111207e-05,-4.90122866966237e-05,-0.0005
1.635554161111207e-05,-4.90122866966237e-05,0.0005
1.6441985011439324e-05,-4.8966081736519325e-05,-0.0005
1.6441985011439324e-05,-4.8966081736519325e-05,0.0005
1.6517753285522797e-05,-4.8903900320961334e-05,-0.0005
1.6517753285522797e-05,-4.8903900320961334e-05,0.0005
1.65799347010808e-05,-4.882813204687786e-05,-0.0005
1.65799347010808e-05,-4.882813204687786e-05,0.0005
1.6626139661185167e-05,-4.87416886465506e-05,-0.0005
1.6626139661185167e-05,-4.87416886465506e-05,0.0005
1.665459253513114e-05,-4.864789209137612e-05,-0.0005
1.665459253513114e-05,-4.864789209137612e-05,0.0005
2.248193946509144e-05,1.889030839361733e-05,-0.0005
2.2981939465091444e-05,1.889030839361733e-05,-0.0005
2.2981939465091444e-05,1.889030839361733e-05,0.0005
2.248193946509144e-05,1.889030839361733e-05,0.0005
2.2972332105293057e-05,1.8987853554625396e-05,-0.0005
2.2972332105293057e-05,1.8987853554625396e-05,0.0005
2.2943879231347085e-05,1.9081650109799875e-05,-0.0005
2.2943879231347085e-05,1.9081650109799875e-05,0.0005
2.2897674271242716e-05,1.9168093510127132e-05,-0.0005
2.2897674271242716e-05,1.9168093510127132e-05,0.0005
2.2835492855684715e-05,1.9243861784210605e-05,-0.0005
2.2835492855684715e-05,1.9243861784210605e-05,0.0005
2.2759724581601242e-05,1.9306043199768606e-05,-0.0005
2.2759724581601242e-05,1.9306043199768606e-05,0.0005
2.267328118127399e-05,1.9352248159872975e-05,-0.0005
2.267328118127399e-05,1.9352248159872975e-05,0.0005
2.2579484626099506e-05,1.9380701033818947e-05,-0.0005
2.2579484626099506e-05,1.9380701033818947e-05,0.0005
2.248193946509144e-05,1.939030839361733e-05,-0.0005
2.248193946509144e-05,1.939030839361733e-05,0.0005
2.2384394304083377e-05,1.9380701033818947e-05,-0.0005
2.2384394304083377e-05,1.9380701033818947e-05,0.0005
2.2290597748908898e-05,1.9352248159872975e-05,-0.0005
2.2290597748908898e-05,1.9352248159872975e-05,0.0005
2.220415434858164e-05,1.9306043199768606e-05,-0.0005
2.220415434858164e-05,1.9306043199768606e-05,0.0005
2.212838607449817e-05,1.9243861784210605e-05,-0.0005
2.212838607449817e-05,1.9243861784210605e-05,0.0005
2.2066204658940167e-05,1.9168093510127132e-05,-0.0005
2.2066204658940167e-05,1.9168093510127132e-05,0.0005
2.20199996988358e-05,1.9081650109799875e-05,-0.0005
2.20199996988358e-05,1.9081650109799875e-05,0.0005
2.1991546824889826e-05,1.8987853554625396e-05,-0.0005
2.1991546824889826e-05,1.8987853554625396e-05,0.0005
2.1981939465091443e-05,1.889030839361733e-05,-0.0005
2.1981939465091443e-05,1.889030839361733e-05,0.0005
2.1991546824889826e-05,1.8792763232609267e-05,-0.0005
2.1991546824889826e-05,1.8792763232609267e-05,0.0005
2.20199996988358e-05,1.8698966677434785e-05,-0.0005
2.20199996988358e-05,1.8698966677434785e-05,0.0005
2.2066204658940167e-05,1.861252327710753e-05,-0.0005
2.2066204658940167e-05,1.861252327710753e-05,0.0005
2.212838607449817e-05,1.853675500302406e-05,-0.0005
2.212838607449817e-05,1.853675500302406e-05,0.0005
2.220415434858164e-05,1.8474573587466057e-05,-0.0005
2.220415434858164e-05,1.8474573587466057e-05,0.0005
2.2290597748908898e-05,1.842836862736169e-05,-0.0005
2.2290597748908898e-05,1.842836862736169e-05,0.0005
2.2384394304083377e-05,1.8399915753415716e-05,-0.0005
2.2384394304083377e-05,1.8399915753415716e-05,0.0005
2.248193946509144e-05,1.839030839361733e-05,-0.0005
2.248193946509144e-05,1.839030839361733e-05,0.0005
2.2579484626099506e-05,1.8399915753415716e-05,-0.0005
2.2579484626099506e-05,1.8399915753415716e-05,0.0005
2.267328118127399e-05,1.842836862736169e-05,-0.0005
2.267328118127399e-05,1.842836862736169e-05,0.0005
2.2759724581601242e-05,1.8474573587466057e-05,-0.0005
2.2759724581601242e-05,1.8474573587466057e-05,0.0005
2.2835492855684715e-05,1.853675500302406e-05,-0.0005
2.2835492855684715e-05,1.853675500302406e-05,0.0005
2.2897674271242716e-05,1.861252327710753e-05,-0.0005
2.2897674271242716e-05,1.861252327710753e-05,0.0005
2.2943879231347085e-05,1.8698966677434785e-05,-0.0005
2.2943879231347085e-05,1.8698966677434785e-05,0.0005
2.2972332105293057e-05,1.8792763232609267e-05,-0.0005
2.2972332105293057e-05,1.8792763232609267e-05,0.0005
1.974706346872281e-06,-2.6520481120795125e-07,-0.0005
2.4747063468722815e-06,-2.6520481120795125e-07,-0.0005
2.4747063468722815e-06,-2.6520481120795125e-07,0.0005
1.974706346872281e-06,-2.6520481120795125e-07,0.0005
2.4650989870738966e-06,-1.6765965019988713e-07,-0.0005
2.4650989870738966e-06,-1.6765965019988713e-07,0.0005
2.436646113127925e-06,-7.386309502540636e-08,-0.0005
2.436646113127925e-06,-7.386309502540636e-08,0.0005
2.3904411530235536e-06,1.2580305301849836e-08,-0.0005
2.3904411530235536e-06,1.2580305301849836e-08,0.0005
2.3282597374655553e-06,8.834857938532247e-08,-0.0005
2.3282597374655553e-06,8.834857938532247e-08,0.0005
2.2524914633820823e-06,1.5052999494332137e-07,-0.0005
2.2524914633820823e-06,1.5052999494332137e-07,0.0005
2.166048063054826e-06,1.967349550476921e-07,-0.0005
2.166048063054826e-06,1.967349550476921e-07,0.0005
2.0722515078803455e-06,2.2518782899366396e-07,-0.0005
2.0722515078803455e-06,2.2518782899366396e-07,0.0005
1.974706346872281e-06,2.3479518879204873e-07,-0.0005
1.974706346872281e-06,2.3479518879204873e-07,0.0005
1.8771611858642173e-06,2.2518782899366396e-07,-0.0005
1.8771611858642173e-06,2.2518782899366396e-07,0.0005
1.7833646306897366e-06,1.967349550476921e-07,-0.0005
1.7833646306897366e-06,1.967349550476921e-07,0.0005
1.6969212303624803e-06,1.5052999494332147e-07,-0.0005
1.6969212303624803e-06,1.5052999494332147e-07,0.0005
1.6211529562790076e-06,8.834857938532253e-08,-0.0005
1.6211529562790076e-06,8.834857938532253e-08,0.0005
1.5589715407210088e-06,1.2580305301849836e-08,-0.0005
1.5589715407210088e-06,1.2580305301849836e-08,0.0005
1.512766580616638e-06,-7.386309502540631e-08,-0.0005
1.512766580616638e-06,-7.386309502540631e-08,0.0005
1.4843137066706662e-06,-1.6765965019988692e-07,-0.0005
1.4843137066706662e-06,-1.6765965019988692e-07,0.0005
1.4747063468722813e-06,-2.652048112079512e-07,-0.0005
1.4747063468722813e-06,-2.652048112079512e-07,0.0005
1.4843137066706662e-06,-3.627499722160154e-07,-0.0005
1.4843137066706662e-06,-3.627499722160154e-07,0.0005
1.512766580616638e-06,-4.5654652739049606e-07,-0.0005
1.512766580616638e-06,-4.5654652739049606e-07,0.0005
1.5589715407210088e-06,-5.429899277177522e-07,-0.0005
1.5589715407210088e-06,-5.429899277177522e-07,0.0005
1.6211529562790074e-06,-6.18758201801225e-07,-0.0005
1.6211529562790074e-06,-6.18758201801225e-07,0.0005
1.6969212303624803e-06,-6.809396173592239e-07,-0.0005
1.6969212303624803e-06,-6.809396173592239e-07,0.0005
1.7833646306897361e-06,-7.271445774635945e-07,-0.0005
1.7833646306897361e-06,-7.271445774635945e-07,0.0005
1.8771611858642168e-06,-7.555974514095665e-07,-0.0005
1.8771611858642168e-06,-7.555974514095665e-07,0.0005
1.974706346872281e-06,-7.652048112079512e-07,-0.0005
1.974706346872281e-06,-7.652048112079512e-07,0.0005
2.0722515078803455e-06,-7.555974514095665e-07,-0.0005
2.0722515078803455e-06,-7.555974514095665e-07,0.0005
2.166048063054826e-06,-7.271445774635945e-07,-0.0005
2.166048063054826e-06,-7.271445774635945e-07,0.0005
2.2524914633820823e-06,-6.809396173592239e-07,-0.0005
2.2524914633820823e-06,-6.809396173592239e-07,0.0005
2.328259737465555e-06,-6.187582018012251e-07,-0.0005
2.328259737465555e-06,-6.187582018012251e-07,0.0005
2.3904411530235536e-06,-5.429899277177523e-07,-0.0005
2.3904411530235536e-06,-5.429899277177523e-07,0.0005
2.4366461131279244e-06,-4.565465273904964e-07,-0.0005
2.4366461131279244e-06,-4.565465273904964e-07,0.0005
2.4650989870738966e-06,-3.6274997221601563e-07,-0.0005
2.4650989870738966e-06,-3.6274997221601563e-07,0.0005
2.2887282081034156e-05,-1.4198700219106626e-05,-0.0005
2.3387282081034158e-05,-1.4198700219106626e-05,-0.0005
2.3387282081034158e-05,-1.4198700219106626e-05,0.0005
2.2887282081034156e-05,-1.4198700219106626e-05,0.0005
2.337767472123577e-05,-1.4101155058098562e-05,-0.0005
2.337767472123577e-05,-1.4101155058098562e-05,0.0005
2.33492218472898e-05,-1.400735850292408e-05,-0.0005
2.33492218472898e-05,-1.400735850292408e-05,0.0005
2.330301688718543e-05,-1.3920915102596825e-05,-0.0005
2.330301688718543e-05,-1.3920915102596825e-05,0.0005
2.324083547162743e-05,-1.3845146828513353e-05,-0.0005
2.324083547162743e-05,-1.3845146828513353e-05,0.0005
2.3165067197543956e-05,-1.3782965412955354e-05,-0.0005
2.3165067197543956e-05,-1.3782965412955354e-05,0.0005
2.3078623797216703e-05,-1.3736760452850982e-05,-0.0005
2.3078623797216703e-05,-1.3736760452850982e-05,0.0005
2.298482724204222e-05,-1.370830757890501e-05,-0.0005
