x,y,z
3.734280460026246e-05,-6.088277464963766e-06,-0.0005
3.9342804600262464e-05,-6.088277464963766e-06,-0.0005
3.9342804600262464e-05,-6.088277464963766e-06,0.0005
3.734280460026246e-05,-6.088277464963766e-06,0.0005
3.930437516106893e-05,-5.69809682093151e-06,-0.0005
3.930437516106893e-05,-5.69809682093151e-06,0.0005
3.9190563665285036e-05,-5.322910600233587e-06,-0.0005
3.9190563665285036e-05,-5.322910600233587e-06,0.0005
3.9005743824867555e-05,-4.977136998924562e-06,-0.0005
3.9005743824867555e-05,-4.977136998924562e-06,0.0005
3.875701816263556e-05,-4.674063902590671e-06,-0.0005
3.875701816263556e-05,-4.674063902590671e-06,0.0005
3.845394506630167e-05,-4.425338240358676e-06,-0.0005
3.845394506630167e-05,-4.425338240358676e-06,0.0005
3.810817146499265e-05,-4.240518399941192e-06,-0.0005
3.810817146499265e-05,-4.240518399941192e-06,0.0005
3.773298524429472e-05,-4.126706904157305e-06,-0.0005
3.773298524429472e-05,-4.126706904157305e-06,0.0005
3.734280460026246e-05,-4.088277464963767e-06,-0.0005
3.734280460026246e-05,-4.088277464963767e-06,0.0005
3.695262395623021e-05,-4.126706904157305e-06,-0.0005
3.695262395623021e-05,-4.126706904157305e-06,0.0005
3.657743773553228e-05,-4.240518399941192e-06,-0.0005
3.657743773553228e-05,-4.240518399941192e-06,0.0005
3.623166413422326e-05,-4.425338240358676e-06,-0.0005
3.623166413422326e-05,-4.425338240358676e-06,0.0005
3.592859103788937e-05,-4.674063902590671e-06,-0.0005
3.592859103788937e-05,-4.674063902590671e-06,0.0005
3.567986537565738e-05,-4.977136998924562e-06,-0.0005
3.567986537565738e-05,-4.977136998924562e-06,0.0005
3.54950455352399e-05,-5.322910600233586e-06,-0.0005
3.54950455352399e-05,-5.322910600233586e-06,0.0005
3.5381234039456e-05,-5.69809682093151e-06,-0.0005
3.5381234039456e-05,-5.69809682093151e-06,0.0005
3.534280460026247e-05,-6.088277464963766e-06,-0.0005
3.534280460026247e-05,-6.088277464963766e-06,0.0005
3.5381234039456e-05,-6.4784581089960235e-06,-0.0005
3.5381234039456e-05,-6.4784581089960235e-06,0.0005
3.54950455352399e-05,-6.853644329693945e-06,-0.0005
3.54950455352399e-05,-6.853644329693945e-06,0.0005
3.567986537565738e-05,-7.1994179310029705e-06,-0.0005
3.567986537565738e-05,-7.1994179310029705e-06,0.0005
3.592859103788937e-05,-7.502491027336861e-06,-0.0005
3.592859103788937e-05,-7.502491027336861e-06,0.0005
3.623166413422326e-05,-7.751216689568857e-06,-0.0005
3.623166413422326e-05,-7.751216689568857e-06,0.0005
3.657743773553228e-05,-7.93603652998634e-06,-0.0005
3.657743773553228e-05,-7.93603652998634e-06,0.0005
3.695262395623021e-05,-8.049848025770227e-06,-0.0005
3.695262395623021e-05,-8.049848025770227e-06,0.0005
3.734280460026246e-05,-8.088277464963766e-06,-0.0005
3.734280460026246e-05,-8.088277464963766e-06,0.0005
3.773298524429472e-05,-8.049848025770227e-06,-0.0005
