x,y,z
-1.3934495671815522e-05,-4.5743480112932e-06,-0.0005
-1.3434495671815522e-05,-4.5743480112932e-06,-0.0005
-1.3434495671815522e-05,-4.5743480112932e-06,0.0005
-1.3934495671815522e-05,-4.5743480112932e-06,0.0005
-1.3444103031613906e-05,-4.476802850285136e-06,-0.0005
-1.3444103031613906e-05,-4.476802850285136e-06,0.0005
-1.3472555905559879e-05,-4.3830062951106546e-06,-0.0005
-1.3472555905559879e-05,-4.3830062951106546e-06,0.0005
-1.3518760865664249e-05,-4.296562894783399e-06,-0.0005
-1.3518760865664249e-05,-4.296562894783399e-06,0.0005
-1.3580942281222249e-05,-4.220794620699926e-06,-0.0005
-1.3580942281222249e-05,-4.220794620699926e-06,0.0005
-1.3656710555305722e-05,-4.158613205141927e-06,-0.0005
-1.3656710555305722e-05,-4.158613205141927e-06,0.0005
-1.3743153955632977e-05,-4.1124082450375565e-06,-0.0005
-1.3743153955632977e-05,-4.1124082450375565e-06,0.0005
-1.3836950510807457e-05,-4.083955371091585e-06,-0.0005
-1.3836950510807457e-05,-4.083955371091585e-06,0.0005
-1.3934495671815522e-05,-4.0743480112931995e-06,-0.0005
-1.3934495671815522e-05,-4.0743480112931995e-06,0.0005
-1.4032040832823585e-05,-4.083955371091585e-06,-0.0005
-1.4032040832823585e-05,-4.083955371091585e-06,0.0005
-1.4125837387998067e-05,-4.1124082450375565e-06,-0.0005
-1.4125837387998067e-05,-4.1124082450375565e-06,0.0005
-1.4212280788325322e-05,-4.158613205141927e-06,-0.0005
-1.4212280788325322e-05,-4.158613205141927e-06,0.0005
-1.4288049062408795e-05,-4.220794620699926e-06,-0.0005
-1.4288049062408795e-05,-4.220794620699926e-06,0.0005
-1.4350230477966795e-05,-4.296562894783399e-06,-0.0005
-1.4350230477966795e-05,-4.296562894783399e-06,0.0005
-1.4396435438071165e-05,-4.3830062951106546e-06,-0.0005
-1.4396435438071165e-05,-4.3830062951106546e-06,0.0005
-1.4424888312017138e-05,-4.476802850285136e-06,-0.0005
-1.4424888312017138e-05,-4.476802850285136e-06,0.0005
-1.4434495671815522e-05,-4.5743480112932e-06,-0.0005
-1.4434495671815522e-05,-4.5743480112932e-06,0.0005
-1.4424888312017138e-05,-4.671893172301264e-06,-0.0005
-1.4424888312017138e-05,-4.671893172301264e-06,0.0005
-1.4396435438071165e-05,-4.765689727475744e-06,-0.0005
-1.4396435438071165e-05,-4.765689727475744e-06,0.0005
-1.4350230477966795e-05,-4.852133127803e-06,-0.0005
-1.4350230477966795e-05,-4.852133127803e-06,0.0005
-1.4288049062408795e-05,-4.9279014018864735e-06,-0.0005
-1.4288049062408795e-05,-4.9279014018864735e-06,0.0005
-1.4212280788325322e-05,-4.990082817444472e-06,-0.0005
-1.4212280788325322e-05,-4.990082817444472e-06,0.0005
-1.4125837387998067e-05,-5.036287777548842e-06,-0.0005
-1.4125837387998067e-05,-5.036287777548842e-06,0.0005
-1.4032040832823585e-05,-5.064740651494815e-06,-0.0005
-1.4032040832823585e-05,-5.064740651494815e-06,0.0005
-1.3934495671815522e-05,-5.074348011293199e-06,-0.0005
-1.3934495671815522e-05,-5.074348011293199e-06,0.0005
-1.3836950510807457e-05,-5.064740651494815e-06,-0.0005
-1.3836950510807457e-05,-5.064740651494815e-06,0.0005
-1.3743153955632977e-05,-5.036287777548842e-06,-0.0005
-1.3743153955632977e-05,-5.036287777548842e-06,0.0005
-1.3656710555305722e-05,-4.990082817444472e-06,-0.0005
-1.3656710555305722e-05,-4.990082817444472e-06,0.0005
-1.3580942281222249e-05,-4.9279014018864735e-06,-0.0005
-1.3580942281222249e-05,-4.9279014018864735e-06,0.0005
-1.3518760865664249e-05,-4.852133127803e-06,-0.0005
-1.3518760865664249e-05,-4.852133127803e-06,0.0005
-1.3472555905559879e-05,-4.765689727475744e-06,-0.0005
-1.3472555905559879e-05,-4.765689727475744e-06,0.0005
-1.3444103031613908e-05,-4.671893172301264e-06,-0.0005
-1.3444103031613908e-05,-4.671893172301264e-06,0.0005
1.2303596862785362e-06,3.323882185609232e-06,-0.0005
1.730359686278536e-06,3.323882185609232e-06,-0.0005
1.730359686278536e-06,3.323882185609232e-06,0.0005
1.2303596862785362e-06,3.323882185609232e-06,0.0005
1.7207523264801514e-06,3.421427346617296e-06,-0.0005
1.7207523264801514e-06,3.421427346617296e-06,0.0005
1.6922994525341796e-06,3.5152239017917768e-06,-0.0005
1.6922994525341796e-06,3.5152239017917768e-06,0.0005
1.6460944924298088e-06,3.601667302119033e-06,-0.0005
1.6460944924298088e-06,3.601667302119033e-06,0.0005
1.58391307687181e-06,3.677435576202506e-06,-0.0005
1.58391307687181e-06,3.677435576202506e-06,0.0005
1.5081448027883373e-06,3.7396169917605044e-06,-0.0005
1.5081448027883373e-06,3.7396169917605044e-06,0.0005
1.421701402461081e-06,3.7858219518648756e-06,-0.0005
