x,y,z
3.839907082956131e-07,2.3137516973686357e-06,-0.0005
6.339907082956131e-07,2.3137516973686357e-06,-0.0005
6.339907082956131e-07,2.3137516973686357e-06,0.0005
3.839907082956131e-07,2.3137516973686357e-06,0.0005
6.291870283964206e-07,2.3625242778726677e-06,-0.0005
6.291870283964206e-07,2.3625242778726677e-06,0.0005
6.149605914234349e-07,2.409422555459908e-06,-0.0005
6.149605914234349e-07,2.409422555459908e-06,0.0005
5.918581113712494e-07,2.452644255623536e-06,-0.0005
5.918581113712494e-07,2.452644255623536e-06,0.0005
5.607674035922499e-07,2.4905283926652726e-06,-0.0005
5.607674035922499e-07,2.4905283926652726e-06,0.0005
5.228832665505136e-07,2.5216191004442717e-06,-0.0005
5.228832665505136e-07,2.5216191004442717e-06,0.0005
4.796615663868855e-07,2.544721580496457e-06,-0.0005
4.796615663868855e-07,2.544721580496457e-06,0.0005
4.327632887996452e-07,2.5589480174694432e-06,-0.0005
4.327632887996452e-07,2.5589480174694432e-06,0.0005
3.839907082956131e-07,2.5637516973686354e-06,-0.0005
3.839907082956131e-07,2.5637516973686354e-06,0.0005
3.35218127791581e-07,2.5589480174694432e-06,-0.0005
3.35218127791581e-07,2.5589480174694432e-06,0.0005
2.883198502043407e-07,2.544721580496457e-06,-0.0005
2.883198502043407e-07,2.544721580496457e-06,0.0005
2.450981500407126e-07,2.5216191004442717e-06,-0.0005
2.450981500407126e-07,2.5216191004442717e-06,0.0005
2.0721401299897624e-07,2.4905283926652726e-06,-0.0005
2.0721401299897624e-07,2.4905283926652726e-06,0.0005
1.7612330521997675e-07,2.452644255623536e-06,-0.0005
1.7612330521997675e-07,2.452644255623536e-06,0.0005
1.530208251677914e-07,2.409422555459908e-06,-0.0005
1.530208251677914e-07,2.409422555459908e-06,0.0005
1.3879438819480548e-07,2.3625242778726677e-06,-0.0005
1.3879438819480548e-07,2.3625242778726677e-06,0.0005
1.339907082956131e-07,2.3137516973686357e-06,-0.0005
