x,y,z
2.3891471437003202e-06,1.9504861941410744e-05,-1.8955115065827988e-07
2.3809005020767787e-06,1.9500076924274506e-05,1.9015154155852982e-07
2.420895961002479e-06,1.948178288455873e-05,4.972039001248647e-07
2.4116727257516953e-06,1.9518340606781046e-05,9.55522237855718e-07
2.5580046190563466e-06,1.9281827547578482e-05,0.0
2.584446192123797e-06,1.9281790214572563e-05,7.132907624925757e-07
2.640818724913867e-06,1.9301065099902066e-05,1.3622992098118674e-06
2.4271896528506498e-06,1.9535857177851487e-05,1.2448630007796832e-06
2.3944265040188193e-06,1.9578254196093358e-05,3.5854431317389254e-07
2.4649923638676426e-06,1.947462392764345e-05,3.5731404914082207e-07
2.4278318059068016e-06,1.9567595622904186e-05,1.0988291862196314e-06
2.464395066801075e-06,1.9516199442451748e-05,1.0993331600798369e-06
2.4553883127002847e-06,1.955031800525066e-05,1.6820605381786758e-06
2.4831965198169387e-06,1.957541073166932e-05,1.972121019766408e-06
2.5185641690176906e-06,1.9595328468012532e-05,2.4100435645078008e-06
2.4804261052841577e-06,1.9600468029643055e-05,1.833119767643064e-06
2.578698303408462e-06,1.962201079579208e-05,-4.962513716017316e-07
2.5124147077174026e-06,1.9555469842724515e-05,1.8336117336298569e-06
2.579822002182274e-06,1.9640800796485216e-05,2.7026034253683312e-06
2.617199748841171e-06,1.9646515214453902e-05,3.0724358166271944e-06
2.5898853492086993e-06,1.96201455521033e-05,2.5832720517119878e-06
2.5687207741873203e-06,1.9650031318368844e-05,2.5827703894449846e-06
2.640228174537539e-06,1.9680867820977122e-05,3.334944475374562e-06
2.6798794579947194e-06,1.9705326315691826e-05,3.7334257838172696e-06
2.27199808246501e-06,1.9811561852073232e-05,0.0
2.2765064566373875e-06,1.9839502231144833e-05,6.426003620693277e-07
2.3556640460998207e-06,1.9811561852073232e-05,-3.273939021927577e-07
2.328586024713421e-06,1.9742512074672784e-05,4.0921593016704576e-07
2.3102667820074976e-06,1.9808415603070622e-05,4.0568636781516966e-07
2.3205771082508516e-06,1.979490137762105e-05,3.150614132209055e-07
2.3081443671107988e-06,1.982265005270017e-05,4.028157026101857e-07
2.3123983191646188e-06,1.9870954692890055e-05,3.711416211330776e-07
2.327455675288716e-06,1.984721090112714e-05,1.0379786981688925e-06
2.346459648100551e-06,1.978988150320648e-05,1.1272478975323498e-06
2.3282540985464556e-06,1.99435886374383e-05,3.8200578028518e-07
2.337115083777372e-06,1.986150740695003e-05,1.1492734401802013e-06
2.341187080866684e-06,1.9915152007399755e-05,1.1186991852719663e-06
2.36682860066705e-06,2.0014929628786963e-05,1.1219269264676738e-06
2.316689418055775e-06,1.9873012476261382e-05,1.3708575145807155e-06
2.3776027969556597e-06,1.990659341579339e-05,2.0953197540088874e-06
2.3769220617910707e-06,1.9890387401894514e-05,1.7730183510370255e-06
2.3891471437003202e-06,2.011826159725253e-05,-1.8955115065827988e-07
2.369406241181272e-06,2.009851697136188e-05,2.0603429652135933e-07
2.4197766465479777e-06,2.0197184002016348e-05,4.898408414239387e-07
2.388692657930525e-06,2.0153841970785808e-05,9.360034328855763e-07
2.370552716942087e-06,1.9702716877584135e-05,1.1342410223716696e-06
2.429107253054247e-06,1.9724112264411044e-05,1.867618186274014e-06
2.403012524462642e-06,1.9813820896090817e-05,1.8608231696263297e-06
2.3927332263159607e-06,1.9898540805565086e-05,1.8827080650147737e-06
2.394626002269186e-06,1.9923215589163043e-05,1.878979930601217e-06
2.4518132844149473e-06,1.9926605240286286e-05,2.498903669296611e-06
2.491409412327483e-06,1.9939899322276493e-05,2.8117546028457317e-06
2.533062745602233e-06,1.974193698751782e-05,2.613549504258691e-06
2.5057837366168264e-06,1.9820741005613047e-05,2.6033332924381653e-06
2.588861990866941e-06,1.9822707475364412e-05,3.23828135740549e-06
2.4969236201726167e-06,1.9931971221594514e-05,2.624127832584245e-06
2.547784550443404e-06,1.9948484126418925e-05,3.1654448448938445e-06
2.5610855973547925e-06,1.9963185486847197e-05,3.2569600750911446e-06
2.56294244277207e-06,1.998703045502774e-05,3.2538750445232732e-06
2.5691953799540252e-06,1.9917226670055676e-05,3.2606257654601476e-06
2.5484716335133136e-06,1.9970293353588014e-05,3.442445546756298e-06
2.648237718654178e-06,1.9978301506759403e-05,3.82937167728456e-06
2.3965716500991405e-06,2.0092069746581262e-05,3.4325353797915995e-07
2.420853762791004e-06,2.004119177671405e-05,1.8497258860412267e-06
2.449073454720315e-06,2.0231873910545915e-05,1.225399486859213e-06
2.4493490773030583e-06,2.0169183999354178e-05,3.360501558969525e-07
2.4247502815138542e-06,2.014595909665754e-05,1.0831725327510005e-06
2.501614727080458e-06,2.0237158516681287e-05,1.0752963389719482e-06
2.4526617265405537e-06,2.0220295824538446e-05,1.6598686617399401e-06
2.4773459150993673e-06,2.0180659182402815e-05,1.8175107733309222e-06
2.5175407044282072e-06,2.0271133140703882e-05,1.9435547641901523e-06
2.5034376587880723e-06,2.023287909676572e-05,2.375207727313664e-06
2.578698303408462e-06,2.00011127428712e-05,-4.962513716017316e-07
2.5014707877399935e-06,1.9985189620108345e-05,2.6232095870913147e-06
2.521811370283434e-06,2.009078394225515e-05,2.5941389806388532e-06
2.585617734449644e-06,2.0090075012302372e-05,3.228105672416298e-06
2.527586640259813e-06,2.0249588719723035e-05,1.8102501366533297e-06
2.5982339860961185e-06,2.025748326041565e-05,2.6847992574890864e-06
2.5979902759108026e-06,2.023327973154996e-05,3.051088607125991e-06
2.565701616268685e-06,2.0198250623867568e-05,2.56740285578115e-06
2.6263948632339163e-06,2.0272731112504998e-05,2.556211368826009e-06
2.5520877182298956e-06,1.996248074913504e-05,1.2436238213401688e-05
