x,y,z
-4.6321097016334533e-07,-3.801474273204803e-07,-2.8030389785766602e-05
-4.6321097016334533e-07,-3.801474273204803e-07,-2.7969610214233397e-05
-4.6157291531562804e-07,-3.788031041622162e-07,-2.8051227569580076e-05
-4.6157291531562804e-07,-3.788031041622162e-07,-2.794877243041992e-05
-4.528943598270416e-07,-3.8937795162200926e-07,-2.8044618606567383e-05
-4.6321097016334533e-07,-3.801474273204803e-07,-2.30303897857666e-05
-4.6321097016334533e-07,-3.801474273204803e-07,-2.2969610214233398e-05
-4.6157291531562804e-07,-3.788031041622162e-07,-2.3051227569580076e-05
-4.6157291531562804e-07,-3.788031041622162e-07,-2.294877243041992e-05
-4.528943598270416e-07,-3.8937795162200926e-07,-2.304461860656738e-05
-4.88937258720398e-07,-3.4545952081680295e-07,-2.8030389785766602e-05
-4.88937258720398e-07,-3.4545952081680295e-07,-2.7969610214233397e-05
-4.988817572593689e-07,-3.3334213495254515e-07,-2.9999999999999997e-05
-5.062711238861084e-07,-3.1951764225959777e-07,-2.8030389785766602e-05
-5.062711238861084e-07,-3.1951764225959777e-07,-2.7969610214233397e-05
-4.7025147080421443e-07,-3.6822825670242307e-07,-2.7955381393432616e-05
-4.88937258720398e-07,-3.4545952081680295e-07,-2.30303897857666e-05
-4.88937258720398e-07,-3.4545952081680295e-07,-2.2969610214233398e-05
-5.062711238861084e-07,-3.1951764225959777e-07,-2.30303897857666e-05
-5.062711238861084e-07,-3.1951764225959777e-07,-2.2969610214233398e-05
-4.7025147080421443e-07,-3.6822825670242307e-07,-2.2955381393432616e-05
-4.6321097016334533e-07,-3.801474273204803e-07,-2.00303897857666e-05
-4.6321097016334533e-07,-3.801474273204803e-07,-1.9969610214233396e-05
-4.6157291531562804e-07,-3.788031041622162e-07,-2.0051227569580078e-05
-4.6157291531562804e-07,-3.788031041622162e-07,-1.9948772430419922e-05
-4.528943598270416e-07,-3.8937795162200926e-07,-2.0044618606567382e-05
-4.88937258720398e-07,-3.4545952081680295e-07,-2.00303897857666e-05
-4.88937258720398e-07,-3.4545952081680295e-07,-1.9969610214233396e-05
-5.062711238861084e-07,-3.1951764225959777e-07,-2.00303897857666e-05
-5.062711238861084e-07,-3.1951764225959777e-07,-1.9969610214233396e-05
-4.7025147080421443e-07,-3.6822825670242307e-07,-1.9955381393432615e-05
-3.8937795162200926e-07,-4.528943598270416e-07,-2.7955381393432616e-05
-3.801474273204803e-07,-4.6321097016334533e-07,-2.8030389785766602e-05
-3.801474273204803e-07,-4.6321097016334533e-07,-2.7969610214233397e-05
-3.788031041622162e-07,-4.6157291531562804e-07,-2.8051227569580076e-05
-3.788031041622162e-07,-4.6157291531562804e-07,-2.794877243041992e-05
-3.8937795162200926e-07,-4.528943598270416e-07,-2.2955381393432616e-05
-3.801474273204803e-07,-4.6321097016334533e-07,-2.30303897857666e-05
-3.801474273204803e-07,-4.6321097016334533e-07,-2.2969610214233398e-05
-3.788031041622162e-07,-4.6157291531562804e-07,-2.3051227569580076e-05
-3.788031041622162e-07,-4.6157291531562804e-07,-2.294877243041992e-05
-3.4545952081680295e-07,-4.88937258720398e-07,-2.8030389785766602e-05
