x,y,z
0.0,0.0,-1e-06
1.0116832198743216e-07,0.0,-9.94869323391895e-07
2.0129852008866006e-07,0.0,-9.795299412524944e-07
2.993631229733579e-07,0.0,-9.541392564000488e-07
3.9435585511331855e-07,0.0,-9.189578116202305e-07
4.85301962531081e-07,0.0,-8.74346616144582e-07
5.712682150947922e-07,0.0,-8.207634412072763e-07
6.513724827222222e-07,0.0,-7.587581226927909e-07
7.247927872291199e-07,0.0,-6.889669190756866e-07
7.907757369376985e-07,0.0,-6.121059825476628e-07
8.486442574947509e-07,0.0,-5.289640103269624e-07
8.978045395707417e-07,0.0,-4.4039415155763425e-07
9.377521321470803e-07,0.0,-3.4730525284482027e-07
9.680771188662042e-07,0.0,-2.506525322587205e-07
9.884683243281114e-07,0.0,-1.514277775045767e-07
9.987165071710527e-07,0.0,-5.064916883871277e-08
9.987165071710527e-07,0.0,5.064916883871264e-08
9.884683243281114e-07,0.0,1.5142777750457658e-07
9.680771188662042e-07,0.0,2.506525322587204e-07
9.377521321470804e-07,0.0,3.4730525284482017e-07
8.978045395707416e-07,0.0,4.4039415155763436e-07
8.486442574947509e-07,0.0,5.289640103269625e-07
7.907757369376985e-07,0.0,6.121059825476628e-07
7.2479278722912e-07,0.0,6.889669190756866e-07
6.513724827222223e-07,0.0,7.587581226927909e-07
5.712682150947922e-07,0.0,8.207634412072763e-07
4.85301962531081e-07,0.0,8.74346616144582e-07
3.943558551133186e-07,0.0,9.189578116202305e-07
2.99363122973358e-07,0.0,9.541392564000488e-07
2.0129852008866017e-07,0.0,9.795299412524944e-07
1.0116832198743228e-07,0.0,9.94869323391895e-07
1.2246467991473532e-22,0.0,1e-06
1.0068116886494748e-07,9.91622961314831e-09,-9.94869323391895e-07
2.003292126939509e-07,1.9730705291663065e-08,-9.795299412524944e-07
2.9792160771197647e-07,2.934271723397513e-08,-9.541392564000488e-07
3.9245692388252836e-07,3.865363319042601e-08,-9.189578116202305e-07
4.829651009349747e-07,4.7567910563620134e-08,-8.74346616144582e-07
5.685174024956247e-07,5.599407680476387e-08,-8.207634412072763e-07
6.482359461797049e-07,6.384566804579833e-08,-7.587581226927909e-07
7.213027118525914e-07,7.104211633569e-08,-6.889669190756866e-07
7.869679356233486e-07,7.75095763766341e-08,-6.121059825476628e-07
8.445578034368431e-07,8.318168327673876e-08,-5.289640103269624e-07
8.934813653177662e-07,8.800023354362193e-08,-4.4039415155763425e-07
9.332365993170621e-07,9.191578233100503e-08,-3.4730525284482027e-07
9.634155629364714e-07,9.488815080974547e-08,-2.506525322587205e-07
9.83708579170596e-07,9.688683845699411e-08,-1.514277775045767e-07
9.939074142120353e-07,9.78913360328337e-08,-5.064916883871277e-08
9.939074142120353e-07,9.78913360328337e-08,5.064916883871264e-08
9.83708579170596e-07,9.688683845699411e-08,1.5142777750457658e-07
9.634155629364714e-07,9.488815080974547e-08,2.506525322587204e-07
9.332365993170622e-07,9.191578233100505e-08,3.4730525284482017e-07
8.934813653177661e-07,8.800023354362191e-08,4.4039415155763436e-07
8.445578034368431e-07,8.318168327673876e-08,5.289640103269625e-07
7.869679356233486e-07,7.75095763766341e-08,6.121059825476628e-07
7.213027118525915e-07,7.104211633569002e-08,6.889669190756866e-07
6.48235946179705e-07,6.384566804579835e-08,7.587581226927909e-07
5.685174024956247e-07,5.599407680476387e-08,8.207634412072763e-07
4.829651009349747e-07,4.7567910563620134e-08,8.74346616144582e-07
3.924569238825284e-07,3.865363319042602e-08,9.189578116202305e-07
2.9792160771197663e-07,2.934271723397514e-08,9.541392564000488e-07
2.00329212693951e-07,1.9730705291663075e-08,9.795299412524944e-07
1.006811688649476e-07,9.91622961314832e-09,9.94869323391895e-07
9.922440104836796e-08,1.973696051435949e-08,-9.94869323391895e-07
1.9743062546991176e-07,3.9271393105466757e-08,-9.795299412524944e-07
2.936109445078116e-07,5.84028480606262e-08,-9.541392564000488e-07
3.8677841793597183e-07,7.693501076300293e-08,-9.189578116202305e-07
4.759770214012843e-07,9.467771614524759e-08,-8.74346616144582e-07
5.602914565271988e-07,1.1144890004042184e-07,-8.207634412072763e-07
6.38856543113663e-07,1.2707646740672327e-07,-7.587581226927909e-07
7.108660970567513e-07,1.4140005825549611e-07,-6.889669190756866e-07
7.755812028885118e-07,1.5427269316171674e-07,-6.121059825476628e-07
8.323377960495805e-07,1.6556228147178898e-07,-5.289640103269624e-07
8.805534770901831e-07,1.7515297673239773e-07,-4.4039415155763425e-07
9.197334878766015e-07,1.8294636543188477e-07,-3.4730525284482027e-07
9.494757884791416e-07,1.8886247685605344e-07,-2.506525322587205e-07
9.694751826458581e-07,1.9284060369591392e-07,-1.514277775045767e-07
9.795264495290958e-07,1.9483992498682354e-07,-5.064916883871277e-08
9.795264495290958e-07,1.9483992498682354e-07,5.064916883871264e-08
9.694751826458581e-07,1.9284060369591392e-07,1.5142777750457658e-07
9.494757884791416e-07,1.8886247685605344e-07,2.506525322587204e-07
9.197334878766016e-07,1.8294636543188477e-07,3.4730525284482017e-07
8.80553477090183e-07,1.7515297673239773e-07,4.4039415155763436e-07
8.323377960495805e-07,1.6556228147178898e-07,5.289640103269625e-07
7.755812028885118e-07,1.5427269316171674e-07,6.121059825476628e-07
7.108660970567514e-07,1.4140005825549614e-07,6.889669190756866e-07
6.388565431136631e-07,1.2707646740672327e-07,7.587581226927909e-07
5.602914565271988e-07,1.1144890004042184e-07,8.207634412072763e-07
4.759770214012843e-07,9.467771614524759e-08,8.74346616144582e-07
3.867784179359719e-07,7.693501076300293e-08,9.189578116202305e-07
2.936109445078117e-07,5.840284806062622e-08,9.541392564000488e-07
1.974306254699119e-07,3.9271393105466776e-08,9.795299412524944e-07
9.922440104836807e-08,1.973696051435951e-08,9.94869323391895e-07
9.681204800811754e-08,2.9367613696497274e-08,-9.94869323391895e-07
1.9263067339603913e-07,5.843387593573759e-08,-9.795299412524944e-07
2.8647264740396766e-07,8.690052753420912e-08,-9.541392564000488e-07
3.7737502439010135e-07,1.1447546212497718e-07,-9.189578116202305e-07
4.6440502295599247e-07,1.4087572356429202e-07,-8.74346616144582e-07
5.466695975459502e-07,1.6583040944452453e-07,-8.207634412072763e-07
6.233246023029256e-07,1.890834509194581e-07,-7.587581226927909e-07
6.935834531473174e-07,2.1039624031716725e-07,-6.889669190756866e-07
7.567251991940461e-07,2.295500795776194e-07,-6.121059825476628e-07
8.12101920684238e-07,2.463484243907166e-07,-5.289640103269624e-07
8.591453775187266e-07,2.606189010068839e-07,-4.4039415155763425e-07
8.973728401704217e-07,2.7221507502499913e-07,-3.4730525284482027e-07
9.26392043142495e-07,2.810179540075059e-07,-2.506525322587205e-07
9.459052101431968e-07,2.86937208503845e-07,-1.514277775045767e-07
9.55712109673566e-07,2.8991209895285295e-07,-5.064916883871277e-08
9.55712109673566e-07,2.8991209895285295e-07,5.064916883871264e-08
9.459052101431968e-07,2.86937208503845e-07,1.5142777750457658e-07
9.26392043142495e-07,2.810179540075059e-07,2.506525322587204e-07
8.973728401704218e-07,2.722150750249992e-07,3.4730525284482017e-07
8.591453775187266e-07,2.606189010068839e-07,4.4039415155763436e-07
8.12101920684238e-07,2.463484243907166e-07,5.289640103269625e-07
7.567251991940461e-07,2.295500795776194e-07,6.121059825476628e-07
6.935834531473175e-07,2.1039624031716728e-07,6.889669190756866e-07
6.233246023029257e-07,1.8908345091945812e-07,7.587581226927909e-07
5.466695975459502e-07,1.6583040944452453e-07,8.207634412072763e-07
4.6440502295599247e-07,1.4087572356429202e-07,8.74346616144582e-07
3.773750243901014e-07,1.1447546212497719e-07,9.189578116202305e-07
2.8647264740396776e-07,8.690052753420914e-08,9.541392564000488e-07
1.9263067339603926e-07,5.843387593573762e-08,9.795299412524944e-07
9.681204800811766e-08,2.9367613696497303e-08,9.94869323391895e-07
9.346734202270016e-08,3.871544070476712e-08,-9.94869323391895e-07
1.859755826347251e-07,7.70336085975414e-08,-9.795299412524944e-07
2.7657546210374476e-07,1.1456130742297706e-07,-9.541392564000488e-07
3.6433730306518146e-07,1.5091345220803478e-07,-9.189578116202305e-07
