x,y,z
0.0,0.0,-2.4999999999999998e-06
2.5292080496858045e-07,0.0,-2.487173308479738e-06
5.032463002216501e-07,0.0,-2.448824853131236e-06
7.484078074333948e-07,0.0,-2.3853481410001223e-06
9.858896377832964e-07,0.0,-2.297394529050576e-06
1.2132549063277026e-06,0.0,-2.185866540361455e-06
1.4281705377369808e-06,0.0,-2.0519086030181906e-06
1.6284312068055553e-06,0.0,-1.896895306731977e-06
1.8119819680727997e-06,0.0,-1.7224172976892165e-06
1.9769393423442463e-06,0.0,-1.5302649563691572e-06
2.121610643736877e-06,0.0,-1.322410025817406e-06
2.2445113489268543e-06,0.0,-1.1009853788940857e-06
2.3443803303677008e-06,0.0,-8.682631321120506e-07
2.4201927971655104e-06,0.0,-6.266313306468012e-07
2.471170810820278e-06,0.0,-3.785694437614417e-07
2.496791267927632e-06,0.0,-1.2662292209678192e-07
2.496791267927632e-06,0.0,1.266229220967816e-07
2.471170810820278e-06,0.0,3.7856944376144146e-07
2.4201927971655104e-06,0.0,6.266313306468009e-07
2.344380330367701e-06,0.0,8.682631321120504e-07
2.244511348926854e-06,0.0,1.1009853788940859e-06
2.121610643736877e-06,0.0,1.3224100258174061e-06
1.9769393423442463e-06,0.0,1.5302649563691572e-06
1.8119819680728e-06,0.0,1.7224172976892165e-06
1.6284312068055557e-06,0.0,1.896895306731977e-06
1.4281705377369808e-06,0.0,2.0519086030181906e-06
1.2132549063277026e-06,0.0,2.185866540361455e-06
9.858896377832964e-07,0.0,2.297394529050576e-06
7.48407807433395e-07,0.0,2.3853481410001223e-06
5.032463002216503e-07,0.0,2.448824853131236e-06
2.529208049685807e-07,0.0,2.487173308479738e-06
3.061616997868383e-22,0.0,2.4999999999999998e-06
2.517029221623687e-07,2.4790574032870778e-08,-2.487173308479738e-06
5.008230317348773e-07,4.9326763229157666e-08,-2.448824853131236e-06
7.448040192799412e-07,7.335679308493783e-08,-2.3853481410001223e-06
9.811423097063212e-07,9.663408297606505e-08,-2.297394529050576e-06
1.2074127523374367e-06,1.1891977640905033e-07,-2.185866540361455e-06
1.421293506239062e-06,1.3998519201190968e-07,-2.0519086030181906e-06
1.6205898654492622e-06,1.5961417011449582e-07,-1.896895306731977e-06
1.8032567796314785e-06,1.7760529083922502e-07,-1.7224172976892165e-06
1.9674198390583712e-06,1.9377394094158522e-07,-1.5302649563691572e-06
2.1113945085921076e-06,2.079542081918469e-07,-1.322410025817406e-06
2.2337034132944154e-06,2.2000058385905481e-07,-1.1009853788940857e-06
2.333091498292655e-06,2.2978945582751257e-07,-8.682631321120506e-07
2.408538907341178e-06,2.3722037702436365e-07,-6.266313306468012e-07
2.45927144792649e-06,2.422170961424853e-07,-3.785694437614417e-07
2.4847685355300883e-06,2.447283400820843e-07,-1.2662292209678192e-07
2.4847685355300883e-06,2.447283400820843e-07,1.266229220967816e-07
2.45927144792649e-06,2.422170961424853e-07,3.7856944376144146e-07
2.408538907341178e-06,2.3722037702436365e-07,6.266313306468009e-07
2.3330914982926554e-06,2.297894558275126e-07,8.682631321120504e-07
2.233703413294415e-06,2.200005838590548e-07,1.1009853788940859e-06
2.1113945085921076e-06,2.079542081918469e-07,1.3224100258174061e-06
1.9674198390583712e-06,1.9377394094158522e-07,1.5302649563691572e-06
1.803256779631479e-06,1.7760529083922505e-07,1.7224172976892165e-06
1.6205898654492626e-06,1.5961417011449588e-07,1.896895306731977e-06
1.421293506239062e-06,1.3998519201190968e-07,2.0519086030181906e-06
1.2074127523374367e-06,1.1891977640905033e-07,2.185866540361455e-06
9.811423097063212e-07,9.663408297606505e-08,2.297394529050576e-06
