x,y,z
0.0,0.0,-9.499999999999999e-06
9.610990588806057e-07,0.0,-9.451258572223003e-06
1.9123359408422707e-06,0.0,-9.305534441898697e-06
2.8439496682469e-06,0.0,-9.064322935800463e-06
3.746380623576526e-06,0.0,-8.73009921039219e-06
4.61036864404527e-06,0.0,-8.30629285337353e-06
5.427048043400527e-06,0.0,-7.797252691469125e-06
6.18803858586111e-06,0.0,-7.208202165581513e-06
6.885531478676639e-06,0.0,-6.545185731219023e-06
7.5123695009081355e-06,0.0,-5.815006834202798e-06
8.062120446200133e-06,0.0,-5.0251580981061426e-06
8.529143125922046e-06,0.0,-4.183744439797525e-06
8.908645255397264e-06,0.0,-3.299399902025792e-06
9.19673262922894e-06,0.0,-2.381199056457845e-06
9.390449081117057e-06,0.0,-1.4385638862934787e-06
9.487806818125001e-06,0.0,-4.811671039677713e-07
9.487806818125001e-06,0.0,4.811671039677701e-07
9.390449081117057e-06,0.0,1.4385638862934774e-06
9.19673262922894e-06,0.0,2.381199056457844e-06
8.908645255397264e-06,0.0,3.2993999020257913e-06
8.529143125922046e-06,0.0,4.183744439797527e-06
8.062120446200133e-06,0.0,5.025158098106143e-06
7.5123695009081355e-06,0.0,5.815006834202798e-06
6.88553147867664e-06,0.0,6.545185731219023e-06
6.188038585861111e-06,0.0,7.208202165581513e-06
5.427048043400527e-06,0.0,7.797252691469125e-06
4.61036864404527e-06,0.0,8.30629285337353e-06
3.7463806235765266e-06,0.0,8.73009921039219e-06
2.843949668246901e-06,0.0,9.064322935800463e-06
1.9123359408422716e-06,0.0,9.305534441898697e-06
9.610990588806065e-07,0.0,9.451258572223003e-06
1.1634144591899855e-21,0.0,9.499999999999999e-06
9.564711042170012e-07,9.420418132490896e-08,-9.451258572223003e-06
1.9031275205925338e-06,1.8744170027079915e-07,-9.305534441898697e-06
2.8302552732637767e-06,2.7875581372276373e-07,-9.064322935800463e-06
3.72834077688402e-06,3.6720951530904707e-07,-8.73009921039219e-06
4.588168458882259e-06,4.518951503543912e-07,-8.30629285337353e-06
5.400915323708435e-06,5.319437296452567e-07,-7.797252691469125e-06
6.158241488707197e-06,6.065338464350842e-07,-7.208202165581513e-06
6.852375762599619e-06,6.74900105189055e-07,-6.545185731219023e-06
7.476195388421812e-06,7.363409755780239e-07,-5.815006834202798e-06
8.02329913265001e-06,7.902259911290181e-07,-5.0251580981061426e-06
8.488072970518778e-06,8.360022186644083e-07,-4.183744439797525e-06
8.86574769351209e-06,8.731999321445479e-07,-3.299399902025792e-06
9.152447847896476e-06,9.014374326925818e-07,-2.381199056457845e-06
9.345231502120662e-06,9.204249653414441e-07,-1.4385638862934787e-06
9.442120435014336e-06,9.299676923119201e-07,-4.811671039677713e-07
9.442120435014336e-06,9.299676923119201e-07,4.811671039677701e-07
9.345231502120662e-06,9.204249653414441e-07,1.4385638862934774e-06
9.152447847896476e-06,9.014374326925818e-07,2.381199056457844e-06
8.86574769351209e-06,8.731999321445479e-07,3.2993999020257913e-06
8.488072970518778e-06,8.360022186644083e-07,4.183744439797527e-06
8.02329913265001e-06,7.902259911290181e-07,5.025158098106143e-06
7.476195388421812e-06,7.363409755780239e-07,5.815006834202798e-06
6.85237576259962e-06,6.749001051890552e-07,6.545185731219023e-06
6.1582414887071975e-06,6.065338464350843e-07,7.208202165581513e-06
5.400915323708435e-06,5.319437296452567e-07,7.797252691469125e-06
4.588168458882259e-06,4.518951503543912e-07,8.30629285337353e-06
3.7283407768840204e-06,3.672095153090471e-07,8.73009921039219e-06
2.8302552732637776e-06,2.787558137227638e-07,9.064322935800463e-06
1.9031275205925346e-06,1.8744170027079923e-07,9.305534441898697e-06
9.56471104217002e-07,9.420418132490905e-08,9.451258572223003e-06
9.426318099594957e-07,1.8750112488641514e-07,-9.451258572223003e-06
1.8755909419641619e-06,3.7307823450193415e-07,-9.305534441898697e-06
2.78930397282421e-06,5.548270565759489e-07,-9.064322935800463e-06
3.6743949703917325e-06,7.308826022485278e-07,-8.73009921039219e-06
4.521781703312201e-06,8.994383033798522e-07,-8.30629285337353e-06
5.322768837008389e-06,1.0587645503840075e-06,-7.797252691469125e-06
6.069137159579798e-06,1.2072264403638708e-06,-7.208202165581513e-06
6.753227922039137e-06,1.343300553427213e-06,-6.545185731219023e-06
7.3680214274408615e-06,1.4655905850363087e-06,-5.815006834202798e-06
7.907209062471015e-06,1.5728416739819954e-06,-5.0251580981061426e-06
8.365258032356738e-06,1.6639532789577787e-06,-4.183744439797525e-06
8.737468134827713e-06,1.7379904716029053e-06,-3.299399902025792e-06
9.020019990551844e-06,1.7941935301325074e-06,-2.381199056457845e-06
9.21001423513565e-06,1.8319857351111824e-06,-1.4385638862934787e-06
9.305501270526411e-06,1.8509792873748236e-06,-4.811671039677713e-07
9.305501270526411e-06,1.8509792873748236e-06,4.811671039677701e-07
9.21001423513565e-06,1.8319857351111824e-06,1.4385638862934774e-06
9.020019990551844e-06,1.7941935301325074e-06,2.381199056457844e-06
8.737468134827713e-06,1.7379904716029053e-06,3.2993999020257913e-06
8.365258032356738e-06,1.6639532789577787e-06,4.183744439797527e-06
7.907209062471015e-06,1.5728416739819954e-06,5.025158098106143e-06
7.3680214274408615e-06,1.4655905850363087e-06,5.815006834202798e-06
6.753227922039138e-06,1.3433005534272133e-06,6.545185731219023e-06
6.069137159579799e-06,1.207226440363871e-06,7.208202165581513e-06
5.322768837008389e-06,1.0587645503840075e-06,7.797252691469125e-06
4.521781703312201e-06,8.994383033798522e-07,8.30629285337353e-06
3.674394970391733e-06,7.308826022485279e-07,8.73009921039219e-06
2.789303972824211e-06,5.548270565759491e-07,9.064322935800463e-06
1.8755909419641627e-06,3.730782345019343e-07,9.305534441898697e-06
9.426318099594967e-07,1.8750112488641535e-07,9.451258572223003e-06
9.197144560771166e-07,2.7899233011672407e-07,-9.451258572223003e-06
1.8299913972623717e-06,5.55121821389507e-07,-9.305534441898697e-06
2.7214901503376927e-06,8.255550115749867e-07,-9.064322935800463e-06
3.5850627317059624e-06,1.087516890187283e-06,-8.73009921039219e-06
4.411847718081929e-06,1.3383193738607744e-06,-8.30629285337353e-06
5.193361176686527e-06,1.5753888897229833e-06,-7.797252691469125e-06
5.921583721877794e-06,1.7962927837348517e-06,-7.208202165581513e-06
6.589042804899515e-06,1.9987642830130887e-06,-6.545185731219023e-06
7.188889392343437e-06,2.1807257559873843e-06,-5.815006834202798e-06
7.714968246500261e-06,2.3403100317118074e-06,-5.0251580981061426e-06
8.161881086427903e-06,2.475879559565397e-06,-4.183744439797525e-06
8.525041981619006e-06,2.586043212737492e-06,-3.299399902025792e-06
8.800724409853701e-06,2.6696705630713054e-06,-2.381199056457845e-06
8.98609949636037e-06,2.7259034807865276e-06,-1.4385638862934787e-06
9.079265041898878e-06,2.754164940052103e-06,-4.811671039677713e-07
9.079265041898878e-06,2.754164940052103e-06,4.811671039677701e-07
8.98609949636037e-06,2.7259034807865276e-06,1.4385638862934774e-06
8.800724409853701e-06,2.6696705630713054e-06,2.381199056457844e-06
8.525041981619006e-06,2.586043212737492e-06,3.2993999020257913e-06
8.161881086427903e-06,2.475879559565397e-06,4.183744439797527e-06
7.714968246500261e-06,2.3403100317118074e-06,5.025158098106143e-06
7.188889392343437e-06,2.1807257559873843e-06,5.815006834202798e-06
6.589042804899516e-06,1.998764283013089e-06,6.545185731219023e-06
5.9215837218777945e-06,1.7962927837348522e-06,7.208202165581513e-06
5.193361176686527e-06,1.5753888897229833e-06,7.797252691469125e-06
4.411847718081929e-06,1.3383193738607744e-06,8.30629285337353e-06
3.585062731705963e-06,1.0875168901872833e-06,8.73009921039219e-06
2.7214901503376936e-06,8.255550115749869e-07,9.064322935800463e-06
1.8299913972623726e-06,5.551218213895074e-07,9.305534441898697e-06
9.197144560771176e-07,2.7899233011672434e-07,9.451258572223003e-06
