v1,v2,v3
1,0,32
1,32,2
2,32,33
2,33,3
3,33,34
3,34,4
4,34,35
4,35,5
5,35,36
5,36,6
6,36,37
6,37,7
7,37,38
7,38,8
8,38,39
8,39,9
9,39,40
9,40,10
10,40,41
10,41,11
11,41,42
11,42,12
12,42,43
12,43,13
13,43,44
13,44,14
14,44,45
14,45,15
15,45,46
15,46,16
16,46,47
16,47,17
17,47,48
17,48,18
18,48,49
18,49,19
19,49,50
19,50,20
20,50,51
20,51,21
21,51,52
21,52,22
22,52,53
22,53,23
23,53,54
23,54,24
24,54,55
24,55,25
25,55,56
25,56,26
26,56,57
26,57,27
27,57,58
27,58,28
28,58,59
28,59,29
29,59,60
29,60,30
30,60,61
30,61,31
32,0,62
32,62,33
33,62,63
33,63,34
34,63,64
34,64,35
35,64,65
35,65,36
36,65,66
36,66,37
37,66,67
37,67,38
38,67,68
38,68,39
39,68,69
39,69,40
40,69,70
40,70,41
41,70,71
41,71,42
42,71,72
42,72,43
43,72,73
43,73,44
44,73,74
44,74,45
45,74,75
45,75,46
46,75,76
46,76,47
47,76,77
47,77,48
48,77,78
48,78,49
49,78,79
49,79,50
50,79,80
50,80,51
51,80,81
51,81,52
52,81,82
52,82,53
53,82,83
53,83,54
54,83,84
54,84,55
55,84,85
55,85,56
56,85,86
56,86,57
57,86,87
57,87,58
58,87,88
58,88,59
59,88,89
59,89,60
60,89,90
60,90,61
61,90,91
61,91,31
62,0,92
62,92,63
63,92,93
63,93,64
64,93,94
64,94,65
65,94,95
65,95,66
66,95,96
66,96,67
67,96,97
67,97,68
68,97,98
68,98,69
69,98,99
69,99,70
70,99,100
70,100,71
71,100,101
71,101,72
72,101,102
72,102,73
73,102,103
73,103,74
74,103,104
74,104,75
75,104,105
75,105,76
76,105,106
76,106,77
77,106,107
77,107,78
78,107,108
78,108,79
79,108,109
79,109,80
80,109,110
80,110,81
81,110,111
81,111,82
82,111,112
82,112,83
83,112,113
83,113,84
84,113,114
84,114,85
85,114,115
85,115,86
86,115,116
86,116,87
87,116,117
87,117,88
88,117,118
88,118,89
89,118,119
89,119,90
90,119,120
90,120,91
91,120,121
91,121,31
92,0,122
92,122,93
93,122,123
93,123,94
94,123,124
94,124,95
95,124,125
95,125,96
96,125,126
96,126,97
97,126,127
97,127,98
98,127,128
98,128,99
99,128,129
99,129,100
100,129,130
100,130,101
101,130,131
101,131,102
102,131,132
102,132,103
103,132,133
103,133,104
104,133,134
104,134,105
105,134,135
105,135,106
106,135,136
106,136,107
107,136,137
107,137,108
108,137,138
108,138,109
109,138,139
109,139,110
110,139,140
110,140,111
111,140,141
111,141,112
112,141,142
112,142,113
113,142,143
113,143,114
114,143,144
114,144,115
115,144,145
115,145,116
116,145,146
116,146,117
117,146,147
117,147,118
118,147,148
118,148,119
119,148,149
119,149,120
120,149,150
120,150,121
121,150,151
121,151,31
122,0,152
122,152,123
123,152,153
123,153,124
124,153,154
124,154,125
125,154,155
125,155,126
126,155,156
126,156,127
127,156,157
127,157,128
128,157,158
128,158,129
129,158,159
129,159,130
130,159,160
130,160,131
131,160,161
131,161,132
132,161,162
132,162,133
133,162,163
133,163,134
134,163,164
134,164,135
135,164,165
135,165,136
136,165,166
136,166,137
137,166,167
137,167,138
138,167,168
138,168,139
139,168,169
139,169,140
140,169,170
140,170,141
141,170,171
141,171,142
142,171,172
142,172,143
143,172,173
143,173,144
144,173,174
144,174,145
145,174,175
145,175,146
146,175,176
146,176,147
147,176,177
147,177,148
148,177,178
148,178,149
149,178,179
149,179,150
150,179,180
150,180,151
151,180,181
151,181,31
152,0,182
152,182,153
153,182,183
153,183,154
154,183,184
154,184,155
155,184,185
155,185,156
156,185,186
156,186,157
157,186,187
157,187,158
158,187,188
158,188,159
159,188,189
159,189,160
160,189,190
160,190,161
161,190,191
161,191,162
162,191,192
162,192,163
163,192,193
163,193,164
164,193,194
164,194,165
165,194,195
165,195,166
166,195,196
166,196,167
167,196,197
167,197,168
168,197,198
168,198,169
169,198,199
169,199,170
170,199,200
170,200,171
171,200,201
171,201,172
172,201,202
172,202,173
173,202,203
173,203,174
174,203,204
174,204,175
175,204,205
175,205,176
176,205,206
176,206,177
177,206,207
177,207,178
178,207,208
178,208,179
179,208,209
179,209,180
180,209,210
180,210,181
181,210,211
181,211,31
182,0,212
182,212,183
183,212,213
183,213,184
184,213,214
184,214,185
185,214,215
185,215,186
186,215,216
186,216,187
187,216,217
187,217,188
188,217,218
188,218,189
189,218,219
189,219,190
190,219,220
190,220,191
191,220,221
191,221,192
192,221,222
192,222,193
193,222,223
193,223,194
194,223,224
194,224,195
195,224,225
195,225,196
196,225,226
196,226,197
197,226,227
197,227,198
198,227,228
198,228,199
199,228,229
199,229,200
200,229,230
200,230,201
201,230,231
201,231,202
202,231,232
202,232,203
203,232,233
203,233,204
204,233,234
204,234,205
205,234,235
205,235,206
206,235,236
206,236,207
207,236,237
207,237,208
208,237,238
208,238,209
209,238,239
209,239,210
210,239,240
210,240,211
211,240,241
211,241,31
212,0,242
212,242,213
