x,y,z
-3.793713340096762e-05,3.263408005068332e-05,1.3413209851141214e-06
-3.703019056876387e-05,3.263408005068332e-05,1.3873159199184587e-06
-3.613255419730826e-05,3.263408005068332e-05,1.5248287540592873e-06
-3.5253435250468035e-05,3.263408005068332e-05,1.7524484197737279e-06
-3.4401854678275775e-05,3.263408005068332e-05,2.0678392312729255e-06
-3.3586550849774804e-05,3.263408005068332e-05,2.4677648520389414e-06
-3.28158898855279e-05,3.263408005068332e-05,2.9481215040168838e-06
-3.209777980989915e-05,3.263408005068332e-05,3.503980077931052e-06
-3.143958940402269e-05,3.263408005068332e-05,4.129636712616251e-06
-3.084807259213675e-05,3.263408005068332e-05,4.818671324351915e-06
-3.032929913718141e-05,3.263408005068332e-05,5.56401348560883e-06
-2.988859235681716e-05,3.263408005068332e-05,6.358014977203401e-06
-2.953047449898211e-05,3.263408005068332e-05,7.192528269376183e-06
-2.9258620337508517e-05,3.263408005068332e-05,8.05899012647257e-06
-2.9075819463970573e-05,3.263408005068332e-05,8.948509477328518e-06
-2.898394766269988e-05,3.263408005068332e-05,9.851958649692243e-06
-2.898394766269988e-05,3.263408005068332e-05,1.076006703249323e-05
-2.9075819463970573e-05,3.263408005068332e-05,1.1663516204856958e-05
-2.9258620337508517e-05,3.263408005068332e-05,1.2553035555712906e-05
-2.953047449898211e-05,3.263408005068332e-05,1.341949741280929e-05
-2.9888592356817164e-05,3.263408005068332e-05,1.4254010704982075e-05
-3.032929913718141e-05,3.263408005068332e-05,1.5048012196576645e-05
-3.084807259213675e-05,3.263408005068332e-05,1.579335435783356e-05
-3.143958940402269e-05,3.263408005068332e-05,1.6482388969569223e-05
-3.2097779809899144e-05,3.263408005068332e-05,1.7108045604254422e-05
-3.28158898855279e-05,3.263408005068332e-05,1.7663904178168593e-05
-3.3586550849774804e-05,3.263408005068332e-05,1.8144260830146535e-05
-3.4401854678275775e-05,3.263408005068332e-05,1.8544186450912548e-05
-3.5253435250468035e-05,3.263408005068332e-05,1.8859577262411748e-05
-3.613255419730826e-05,3.263408005068332e-05,1.908719692812619e-05
-3.703019056876387e-05,3.263408005068332e-05,1.9224709762267017e-05
-3.793713340096762e-05,3.263408005068332e-05,1.927070469707135e-05
-3.7034557746393624e-05,3.2722975993538324e-05,1.3873159199184587e-06
-3.614124373941556e-05,3.281095974372421e-05,1.5248287540592873e-06
-3.526635799059201e-05,3.2897128468903024e-05,1.7524484197737279e-06
-3.44188780116155e-05,3.2980597961349516e-05,2.0678392312729255e-06
-3.360750009389397e-05,3.3060511711118925e-05,2.4677648520389414e-06
-3.2840550072832984e-05,3.3136049694998024e-05,2.9481215040168838e-06
-3.212589789349783e-05,3.320643679105301e-05,3.503980077931052e-06
-3.1470876854327403e-05,3.3270950732429366e-05,4.129636712616251e-06
-3.0882208357568686e-05,3.332892951878729e-05,4.818671324351915e-06
-3.0365932938594164e-05,3.33797782093209e-05,5.56401348560883e-06
-2.992734828183479e-05,3.342297502765604e-05,6.358014977203401e-06
-2.957095485936878e-05,3.345807671598199e-05,7.192528269376183e-06
-2.9300409749987982e-05,3.3484723083476314e-05,8.05899012647257e-06
-2.9118489112620687e-05,3.3502640702350256e-05,8.948509477328518e-06
-2.9027059699184227e-05,3.3511645713587734e-05,9.851958649692243e-06
-2.9027059699184227e-05,3.3511645713587734e-05,1.076006703249323e-05
-2.9118489112620687e-05,3.3502640702350256e-05,1.1663516204856958e-05
-2.9300409749987982e-05,3.3484723083476314e-05,1.2553035555712906e-05
-2.9570954859368775e-05,3.345807671598199e-05,1.341949741280929e-05
-2.9927348281834792e-05,3.342297502765604e-05,1.4254010704982075e-05
-3.0365932938594164e-05,3.33797782093209e-05,1.5048012196576645e-05
-3.0882208357568686e-05,3.332892951878729e-05,1.579335435783356e-05
-3.1470876854327403e-05,3.3270950732429366e-05,1.6482388969569223e-05
-3.212589789349783e-05,3.320643679105301e-05,1.7108045604254422e-05
-3.2840550072832984e-05,3.3136049694998024e-05,1.7663904178168593e-05
-3.360750009389397e-05,3.3060511711118925e-05,1.8144260830146535e-05
-3.44188780116155e-05,3.2980597961349516e-05,1.8544186450912548e-05
-3.526635799059201e-05,3.2897128468903024e-05,1.8859577262411748e-05
-3.614124373941556e-05,3.281095974372421e-05,1.908719692812619e-05
-3.7034557746393624e-05,3.2722975993538324e-05,1.9224709762267017e-05
-3.704761722097496e-05,3.2811015819868176e-05,1.3873159199184587e-06
-3.616722868069674e-05,3.298613598862884e-05,1.5248287540592873e-06
-3.530500175791226e-05,3.315764358705837e-05,1.7524484197737279e-06
-3.446978406762872e-05,3.332377871511005e-05,2.0678392312729255e-06
-3.367014607357857e-05,3.348283660155328e-05,2.4677648520389414e-06
-3.291429314366385e-05,3.363318509723346e-05,2.9481215040168838e-06
-3.220998135177792e-05,3.377328142313091e-05,3.503980077931052e-06
-3.156443788999166e-05,3.390168800136127e-05,4.129636712616251e-06
-3.0984286907782885e-05,3.401708720667006e-05,4.818671324351915e-06
-3.0475481539298757e-05,3.4118294887050706e-05,5.56401348560883e-06
-3.0043242816143606e-05,3.420427251474666e-05,6.358014977203401e-06
-2.9692006092529445e-05,3.4274137842951426e-05,7.192528269376183e-06
-2.9425375532539788e-05,3.432717395885473e-05,8.05899012647257e-06
-2.924608712652892e-05,3.436283664013808e-05,8.948509477328518e-06
-2.915598061615849e-05,3.438075993943218e-05,9.851958649692243e-06
-2.915598061615849e-05,3.438075993943218e-05,1.076006703249323e-05
-2.924608712652892e-05,3.436283664013808e-05,1.1663516204856958e-05
-2.9425375532539788e-05,3.432717395885473e-05,1.2553035555712906e-05
-2.9692006092529445e-05,3.4274137842951426e-05,1.341949741280929e-05
-3.004324281614361e-05,3.420427251474666e-05,1.4254010704982075e-05
-3.0475481539298757e-05,3.4118294887050706e-05,1.5048012196576645e-05
-3.0984286907782885e-05,3.401708720667006e-05,1.579335435783356e-05
-3.156443788999166e-05,3.390168800136127e-05,1.6482388969569223e-05
-3.220998135177792e-05,3.377328142313091e-05,1.7108045604254422e-05
-3.291429314366385e-05,3.363318509723346e-05,1.7663904178168593e-05
-3.367014607357857e-05,3.348283660155328e-05,1.8144260830146535e-05
-3.446978406762872e-05,3.332377871511005e-05,1.8544186450912548e-05
-3.530500175791226e-05,3.315764358705837e-05,1.8859577262411748e-05
-3.6167228680696735e-05,3.298613598862884e-05,1.908719692812619e-05
-3.704761722097496e-05,3.2811015819868176e-05,1.9224709762267017e-05
-3.706924322262864e-05,3.289735165801784e-05,1.3873159199184587e-06
-3.621025877196248e-05,3.3157921742397694e-05,1.5248287540592873e-06
-3.5368994391824644e-05,3.3413116502149494e-05,1.7524484197737279e-06
-3.455408259316795e-05,3.3660317293704494e-05,2.0678392312729255e-06
-3.3773885473798475e-05,3.3896987502425225e-05,2.4677648520389414e-06
-3.3036408911936335e-05,3.412069857170425e-05,2.9481215040168838e-06
-3.2349220415071474e-05,3.432915492324132e-05,3.503980077931052e-06
-3.171937146709634e-05,3.452021751278316e-05,4.129636712616251e-06
-3.1153325170538965e-05,3.4691925779612046e-05,4.818671324351915e-06
-3.0656889926385045e-05,3.484251776455194e-05,5.56401348560883e-06
-3.023515983202382e-05,3.497044819005383e-05,6.358014977203401e-06
-2.9892462408915443e-05,3.507440431683454e-05,7.192528269376183e-06
-2.963231419636471e-05,3.5153319414358184e-05,8.05899012647257e-06
-2.9457384667069166e-05,3.5206383706934974e-05,8.948509477328518e-06
-2.936946883471686e-05,3.523305268311563e-05,9.851958649692243e-06
-2.936946883471686e-05,3.523305268311563e-05,1.076006703249323e-05
-2.9457384667069166e-05,3.5206383706934974e-05,1.1663516204856958e-05
-2.963231419636471e-05,3.5153319414358184e-05,1.2553035555712906e-05
-2.989246240891544e-05,3.507440431683454e-05,1.341949741280929e-05
-3.0235159832023824e-05,3.497044819005383e-05,1.4254010704982075e-05
-3.0656889926385045e-05,3.484251776455194e-05,1.5048012196576645e-05
-3.1153325170538965e-05,3.4691925779612046e-05,1.579335435783356e-05
-3.171937146709634e-05,3.452021751278316e-05,1.6482388969569223e-05
-3.2349220415071474e-05,3.432915492324132e-05,1.7108045604254422e-05
-3.3036408911936335e-05,3.412069857170425e-05,1.7663904178168593e-05
-3.3773885473798475e-05,3.3896987502425225e-05,1.8144260830146535e-05
-3.455408259316795e-05,3.3660317293704494e-05,1.8544186450912548e-05
-3.5368994391824644e-05,3.3413116502149494e-05,1.8859577262411748e-05
-3.621025877196247e-05,3.3157921742397694e-05,1.908719692812619e-05
-3.706924322262864e-05,3.289735165801784e-05,1.9224709762267017e-05
-3.7099227481136757e-05,3.298115204666997e-05,1.3873159199184587e-06
-3.6269919609911225e-05,3.332466261431435e-05,1.5248287540592873e-06
-3.545771960828266e-05,3.3661086870348346e-05,1.7524484197737279e-06
-3.467096174734998e-05,3.3986972646650304e-05,2.0678392312729255e-06
-3.3917719227419836e-05,3.4298975914161457e-05,2.4677648520389414e-06
-3.320572133604671e-05,3.459389509714926e-05,2.9481215040168838e-06
