x,y,z
1.3128154199002182e-06,1.6662455016407166e-05,-4.80703125358951e-05
2.189050548939431e-06,1.6662455016407166e-05,-4.802587491954005e-05
3.0562943198191208e-06,1.6662455016407166e-05,-4.789301806055242e-05
3.905647637881734e-06,1.6662455016407166e-05,-4.7673105250089476e-05
4.72839498872527e-06,1.6662455016407166e-05,-4.736839309117614e-05
5.516093871175024e-06,1.6662455016407166e-05,-4.69820083429043e-05
6.260661428770165e-06,1.6662455016407166e-05,-4.651791583565332e-05
6.954457390808876e-06,1.6662455016407166e-05,-4.5980877786565124e-05
7.5903624718647e-06,1.6662455016407166e-05,-4.537640493275193e-05
8.16185142528894e-06,1.6662455016407166e-05,-4.4710699983676325e-05
8.66306000107135e-06,1.6662455016407166e-05,-4.3990593972958563e-05
9.088845120980831e-06,1.6662455016407166e-05,-4.3223476162727726e-05
9.434837653507789e-06,1.6662455016407166e-05,-4.241721821979305e-05
9.697487247065786e-06,1.6662455016407166e-05,-4.1580093441690344e-05
9.87409876140324e-06,1.6662455016407166e-05,-4.072069186145377e-05
9.962859923389475e-06,1.6662455016407166e-05,-3.984783210225271e-05
9.962859923389475e-06,1.6662455016407166e-05,-3.897047088638453e-05
9.87409876140324e-06,1.6662455016407166e-05,-3.809761112718347e-05
9.697487247065786e-06,1.6662455016407166e-05,-3.72382095469469e-05
9.434837653507789e-06,1.6662455016407166e-05,-3.64010847688442e-05
9.088845120980831e-06,1.6662455016407166e-05,-3.5594826825909516e-05
8.66306000107135e-06,1.6662455016407166e-05,-3.482770901567868e-05
8.16185142528894e-06,1.6662455016407166e-05,-3.4107603004960916e-05
7.5903624718647005e-06,1.6662455016407166e-05,-3.3441898055885306e-05
6.9544573908088765e-06,1.6662455016407166e-05,-3.283742520207212e-05
6.260661428770165e-06,1.6662455016407166e-05,-3.230038715298391e-05
5.516093871175024e-06,1.6662455016407166e-05,-3.183629464573294e-05
4.728394988725271e-06,1.6662455016407166e-05,-3.1449909897461104e-05
3.905647637881735e-06,1.6662455016407166e-05,-3.1145197738547766e-05
3.0562943198191216e-06,1.6662455016407166e-05,-3.092528492808482e-05
2.1890505489394316e-06,1.6662455016407166e-05,-3.079242806909719e-05
1.3128154199002193e-06,1.6662455016407166e-05,-3.074799045274214e-05
2.184831237293684e-06,1.6748341078011893e-05,-4.802587491954005e-05
3.047898992374754e-06,1.6833345832402144e-05,-4.789301806055242e-05
3.893162442059019e-06,1.6916597015768066e-05,-4.7673105250089476e-05
4.711948039528518e-06,1.6997240358311467e-05,-4.736839309117614e-05
5.495853936559271e-06,1.7074448350209985e-05,-4.69820083429043e-05
6.236836197853576e-06,1.7147428732987626e-05,-4.651791583565332e-05
6.927291342701345e-06,1.7215432629158857e-05,-4.5980877786565124e-05
7.560134366981346e-06,1.727776222672499e-05,-4.537640493275193e-05
8.128871444891028e-06,1.7333777939669563e-05,-4.4710699983676325e-05
